Start	End	Length	Name
00:00:00.000	00:00:04.210	00:00:04.210	
00:00:04.210	00:00:42.860	00:00:38.650	
00:00:42.860	00:01:10.987	00:00:28.126	
00:01:10.987	00:01:51.499	00:00:40.512	
00:01:51.499	00:02:25.656	00:00:34.157	
00:02:25.656	00:02:56.183	00:00:30.527	
00:02:56.183	00:03:09.537	00:00:13.354	
00:03:09.537	00:03:27.945	00:00:18.409	
00:03:27.945	00:03:30.109	00:00:02.164	
00:03:30.109	00:03:50.087	00:00:19.978	
00:03:50.087	00:04:19.709	00:00:29.622	
00:04:19.709	00:04:44.543	00:00:24.834	
00:04:44.543	00:05:21.669	00:00:37.125	
00:05:21.669	00:05:32.523	00:00:10.854	
00:05:32.523	00:06:11.366	00:00:38.844	
00:06:11.366	00:07:08.563	00:00:57.197	
00:07:08.563	00:07:22.370	00:00:13.808	
00:07:22.370	00:07:41.667	00:00:19.297	
00:07:41.667	00:08:17.369	00:00:35.702	
00:08:17.369	00:08:31.082	00:00:13.713	
00:08:31.082	00:08:33.764	00:00:02.682	
00:08:33.764	00:08:44.790	00:00:11.025	
00:08:44.790	00:08:47.620	00:00:02.831	
00:08:47.620	00:08:54.347	00:00:06.727	
00:08:54.347	00:08:56.816	00:00:02.469	
00:08:56.816	00:09:07.355	00:00:10.539	
00:09:07.355	00:09:13.598	00:00:06.243	
00:09:13.598	00:09:15.445	00:00:01.847	
00:09:15.445	00:09:17.986	00:00:02.541	
00:09:17.986	00:09:31.073	00:00:13.087	
00:09:31.073	00:09:35.088	00:00:04.014	
00:09:35.088	00:09:36.872	00:00:01.784	
00:09:36.872	00:09:38.812	00:00:01.940	
00:09:38.812	00:09:52.712	00:00:13.900	
00:09:52.712	00:09:55.456	00:00:02.744	
00:09:55.456	00:09:58.402	00:00:02.947	
00:09:58.402	00:10:01.430	00:00:03.028	
00:10:01.430	00:10:03.147	00:00:01.717	
00:10:03.147	00:10:05.120	00:00:01.973	
00:10:05.120	00:10:28.984	00:00:23.864	
00:10:28.984	00:10:42.719	00:00:13.735	
00:10:42.719	00:11:07.453	00:00:24.733	
00:11:07.453	00:11:20.810	00:00:13.357	
00:11:20.810	00:11:33.187	00:00:12.378	
00:11:33.187	00:11:34.450	00:00:01.263	
00:11:34.450	00:11:38.649	00:00:04.199	
00:11:38.649	00:11:40.636	00:00:01.987	
00:11:40.636	00:11:44.668	00:00:04.033	
00:11:44.668	00:11:48.147	00:00:03.478	
00:11:48.147	00:11:53.914	00:00:05.767	
00:11:53.914	00:12:07.818	00:00:13.904	
00:12:07.818	00:12:09.945	00:00:02.127	
00:12:09.945	00:12:11.279	00:00:01.334	
00:12:11.279	00:12:17.406	00:00:06.128	
00:12:17.406	00:12:19.287	00:00:01.881	
00:12:19.287	00:12:23.153	00:00:03.866	
00:12:23.153	00:12:24.951	00:00:01.798	
00:12:24.951	00:12:35.877	00:00:10.926	
00:12:35.877	00:12:39.769	00:00:03.892	
00:12:39.769	00:13:05.533	00:00:25.765	
