Start	End	Length	Name
00:00:00.000	00:00:04.731	00:00:04.731	
00:00:04.731	00:00:27.358	00:00:22.627	
00:00:27.358	00:00:53.365	00:00:26.007	
00:00:53.365	00:00:56.354	00:00:02.989	
00:00:56.354	00:01:05.032	00:00:08.679	
00:01:05.032	00:01:07.411	00:00:02.379	
00:01:07.411	00:01:12.196	00:00:04.785	
00:01:12.196	00:01:24.022	00:00:11.826	
00:01:24.022	00:01:28.784	00:00:04.762	
00:01:28.784	00:01:41.504	00:00:12.720	
00:01:41.504	00:01:46.632	00:00:05.128	
00:01:46.632	00:01:50.746	00:00:04.114	
00:01:50.746	00:02:01.682	00:00:10.936	
00:02:01.682	00:02:04.655	00:00:02.974	
00:02:04.655	00:02:07.881	00:00:03.225	
00:02:07.881	00:02:11.806	00:00:03.925	
00:02:11.806	00:02:13.609	00:00:01.803	
00:02:13.609	00:02:28.597	00:00:14.987	
00:02:28.597	00:02:30.362	00:00:01.765	
00:02:30.362	00:02:38.485	00:00:08.124	
00:02:38.485	00:02:43.691	00:00:05.205	
00:02:43.691	00:02:47.878	00:00:04.187	
00:02:47.878	00:03:08.287	00:00:20.409	
00:03:08.287	00:03:19.007	00:00:10.720	
00:03:19.007	00:03:29.604	00:00:10.597	
00:03:29.604	00:03:37.045	00:00:07.441	
00:03:37.045	00:03:45.910	00:00:08.865	
00:03:45.910	00:03:50.135	00:00:04.225	
00:03:50.135	00:03:57.278	00:00:07.143	
00:03:57.278	00:04:01.481	00:00:04.203	
00:04:01.481	00:04:12.175	00:00:10.695	
00:04:12.175	00:04:21.840	00:00:09.664	
00:04:21.840	00:04:23.992	00:00:02.153	
00:04:23.992	00:04:37.044	00:00:13.052	
00:04:37.044	00:04:41.764	00:00:04.719	
00:04:41.764	00:04:57.841	00:00:16.078	
00:04:57.841	00:05:08.159	00:00:10.318	
00:05:08.159	00:05:13.881	00:00:05.722	
00:05:13.881	00:05:24.349	00:00:10.467	
00:05:24.349	00:05:28.357	00:00:04.008	
00:05:28.357	00:05:48.727	00:00:20.370	
00:05:48.727	00:05:50.054	00:00:01.327	
00:05:50.054	00:05:54.659	00:00:04.605	
00:05:54.659	00:06:03.627	00:00:08.968	
00:06:03.627	00:06:19.114	00:00:15.487	
00:06:19.114	00:06:25.118	00:00:06.004	
00:06:25.118	00:06:33.709	00:00:08.591	
00:06:33.709	00:06:38.251	00:00:04.542	
00:06:38.251	00:06:58.764	00:00:20.513	
00:06:58.764	00:07:06.802	00:00:08.038	
00:07:06.802	00:07:10.135	00:00:03.333	
00:07:10.135	00:07:13.469	00:00:03.334	
00:07:13.469	00:07:24.383	00:00:10.914	
00:07:24.383	00:07:33.661	00:00:09.278	
00:07:33.661	00:07:35.937	00:00:02.276	
00:07:35.937	00:07:46.142	00:00:10.204	
00:07:46.142	00:07:50.647	00:00:04.506	
00:07:50.647	00:08:00.252	00:00:09.605	
00:08:00.252	00:08:05.641	00:00:05.389	
00:08:05.641	00:08:08.225	00:00:02.584	
00:08:08.225	00:08:11.598	00:00:03.373	
00:08:11.598	00:08:22.946	00:00:11.348	
00:08:22.946	00:08:39.058	00:00:16.112	
00:08:39.058	00:08:48.848	00:00:09.790	
00:08:48.848	00:08:59.948	00:00:11.100	
00:08:59.948	00:09:06.905	00:00:06.957	
00:09:06.905	00:09:15.195	00:00:08.290	
00:09:15.195	00:09:18.201	00:00:03.006	
00:09:18.201	00:09:24.752	00:00:06.551	
00:09:24.752	00:09:46.152	00:00:21.400	
00:09:46.152	00:09:49.775	00:00:03.624	
00:09:49.775	00:09:53.168	00:00:03.393	
00:09:53.168	00:09:58.169	00:00:05.001	
00:09:58.169	00:10:04.955	00:00:06.785	
00:10:04.955	00:10:15.050	00:00:10.095	
00:10:15.050	00:10:18.689	00:00:03.639	
00:10:18.689	00:10:36.293	00:00:17.604	
