Start	End	Length	Name
00:00:00.000	00:00:03.964	00:00:03.964	
00:00:03.964	00:00:21.469	00:00:17.505	
00:00:21.469	00:00:42.576	00:00:21.106	
00:00:42.576	00:01:07.611	00:00:25.035	
00:01:07.611	00:01:48.406	00:00:40.795	
00:01:48.406	00:02:05.874	00:00:17.468	
00:02:05.874	00:02:22.690	00:00:16.816	
00:02:22.690	00:02:32.784	00:00:10.094	
00:02:32.784	00:02:50.409	00:00:17.625	
00:02:50.409	00:03:06.269	00:00:15.860	
00:03:06.269	00:03:24.423	00:00:18.153	
00:03:24.423	00:03:43.503	00:00:19.080	
00:03:43.503	00:03:56.690	00:00:13.187	
00:03:56.690	00:04:23.422	00:00:26.732	
00:04:23.422	00:04:52.946	00:00:29.524	
00:04:52.946	00:05:07.946	00:00:14.999	
00:05:07.946	00:05:15.803	00:00:07.857	
00:05:15.803	00:05:38.958	00:00:23.155	
00:05:38.958	00:06:01.783	00:00:22.824	
00:06:01.783	00:06:19.417	00:00:17.634	
00:06:19.417	00:06:45.843	00:00:26.426	
00:06:45.843	00:06:50.839	00:00:04.997	
00:06:50.839	00:07:08.839	00:00:18.000	
00:07:08.839	00:07:20.533	00:00:11.694	
00:07:20.533	00:07:24.497	00:00:03.964	
00:07:24.497	00:07:40.325	00:00:15.828	
00:07:40.325	00:07:42.600	00:00:02.274	
00:07:42.600	00:07:44.843	00:00:02.244	
00:07:44.843	00:07:47.186	00:00:02.343	
00:07:47.186	00:07:51.282	00:00:04.096	
00:07:51.282	00:07:59.608	00:00:08.326	
00:07:59.608	00:08:01.540	00:00:01.932	
00:08:01.540	00:08:07.463	00:00:05.923	
00:08:07.463	00:08:17.737	00:00:10.274	
00:08:17.737	00:08:27.424	00:00:09.687	
00:08:27.424	00:08:45.796	00:00:18.372	
00:08:45.796	00:08:49.590	00:00:03.794	
00:08:49.590	00:08:59.686	00:00:10.096	
00:08:59.686	00:09:17.962	00:00:18.275	
00:09:17.962	00:09:36.187	00:00:18.226	
00:09:36.187	00:10:05.987	00:00:29.800	
