Start	End	Length	Name
00:00:00.000	00:00:05.051	00:00:05.051	
00:00:05.051	00:00:39.323	00:00:34.272	
00:00:39.323	00:00:51.691	00:00:12.368	
00:00:51.691	00:01:26.841	00:00:35.150	
00:01:26.841	00:01:48.591	00:00:21.750	
00:01:48.591	00:01:52.216	00:00:03.625	
00:01:52.216	00:02:05.197	00:00:12.982	
00:02:05.197	00:02:13.805	00:00:08.607	
00:02:13.805	00:02:27.092	00:00:13.288	
00:02:27.092	00:02:46.923	00:00:19.831	
00:02:46.923	00:02:48.832	00:00:01.908	
00:02:48.832	00:02:55.442	00:00:06.610	
00:02:55.442	00:03:11.186	00:00:15.743	
00:03:11.186	00:03:13.078	00:00:01.892	
00:03:13.078	00:03:19.827	00:00:06.749	
00:03:19.827	00:03:30.122	00:00:10.294	
00:03:30.122	00:03:40.710	00:00:10.588	
00:03:40.710	00:03:43.874	00:00:03.164	
00:03:43.874	00:03:46.671	00:00:02.798	
00:03:46.671	00:03:58.324	00:00:11.652	
00:03:58.324	00:04:03.284	00:00:04.961	
00:04:03.284	00:04:12.046	00:00:08.761	
00:04:12.046	00:04:15.794	00:00:03.749	
00:04:15.794	00:04:18.732	00:00:02.938	
00:04:18.732	00:04:20.100	00:00:01.368	
00:04:20.100	00:04:30.947	00:00:10.847	
00:04:30.947	00:04:34.637	00:00:03.690	
00:04:34.637	00:04:49.393	00:00:14.755	
00:04:49.393	00:04:51.916	00:00:02.523	
00:04:51.916	00:04:54.691	00:00:02.775	
00:04:54.691	00:04:56.456	00:00:01.765	
00:04:56.456	00:05:07.421	00:00:10.966	
00:05:07.421	00:05:10.337	00:00:02.916	
00:05:10.337	00:05:24.220	00:00:13.883	
00:05:24.220	00:05:34.328	00:00:10.108	
00:05:34.328	00:05:46.113	00:00:11.784	
00:05:46.113	00:05:49.658	00:00:03.546	
00:05:49.658	00:05:53.626	00:00:03.967	
00:05:53.626	00:05:57.578	00:00:03.952	
00:05:57.578	00:05:59.561	00:00:01.982	
00:05:59.561	00:06:08.370	00:00:08.809	
00:06:08.370	00:06:13.468	00:00:05.098	
00:06:13.468	00:06:20.167	00:00:06.699	
00:06:20.167	00:06:24.676	00:00:04.509	
00:06:24.676	00:07:18.363	00:00:53.687	
00:07:18.363	00:07:25.550	00:00:07.186	
00:07:25.550	00:07:41.179	00:00:15.630	
00:07:41.179	00:08:06.431	00:00:25.252	
00:08:06.431	00:08:18.938	00:00:12.507	
00:08:18.938	00:08:29.366	00:00:10.428	
00:08:29.366	00:08:38.024	00:00:08.657	
00:08:38.024	00:09:14.836	00:00:36.812	
00:09:14.836	00:09:48.974	00:00:34.138	
00:09:48.974	00:10:08.727	00:00:19.753	
00:10:08.727	00:10:17.280	00:00:08.553	
00:10:17.280	00:10:27.015	00:00:09.735	
00:10:27.015	00:10:34.020	00:00:07.005	
00:10:34.020	00:10:52.386	00:00:18.366	
00:10:52.386	00:11:08.661	00:00:16.275	
00:11:08.661	00:11:24.957	00:00:16.296	
00:11:24.957	00:11:43.106	00:00:18.149	
00:11:43.106	00:11:48.346	00:00:05.240	
00:11:48.346	00:12:02.756	00:00:14.410	
00:12:02.756	00:12:30.459	00:00:27.703	
00:12:30.459	00:12:38.628	00:00:08.169	
00:12:38.628	00:12:41.746	00:00:03.118	
00:12:41.746	00:13:07.310	00:00:25.564	
00:13:07.310	00:13:15.905	00:00:08.595	
00:13:15.905	00:13:41.602	00:00:25.697	
00:13:41.602	00:14:03.705	00:00:22.103	
00:14:03.705	00:14:22.257	00:00:18.552	
00:14:22.257	00:14:38.142	00:00:15.885	
00:14:38.142	00:14:47.464	00:00:09.323	
00:14:47.464	00:15:38.863	00:00:51.399	
00:15:38.863	00:15:44.693	00:00:05.830	
