Start	End	Length	Name
00:00:00.000	00:00:05.866	00:00:05.866	
00:00:05.866	00:00:13.218	00:00:07.352	
00:00:13.218	00:00:14.786	00:00:01.568	
00:00:14.786	00:00:19.091	00:00:04.305	
00:00:19.091	00:00:23.518	00:00:04.427	
00:00:23.518	00:00:31.777	00:00:08.259	
00:00:31.777	00:00:36.197	00:00:04.420	
00:00:36.197	00:00:40.225	00:00:04.028	
00:00:40.225	00:00:43.572	00:00:03.348	
00:00:43.572	00:00:49.175	00:00:05.603	
00:00:49.175	00:00:53.223	00:00:04.048	
00:00:53.223	00:01:02.361	00:00:09.137	
00:01:02.361	00:01:06.085	00:00:03.724	
00:01:06.085	00:01:14.293	00:00:08.208	
00:01:14.293	00:01:16.302	00:00:02.009	
00:01:16.302	00:01:28.900	00:00:12.598	
00:01:28.900	00:01:56.034	00:00:27.134	
00:01:56.034	00:01:57.237	00:00:01.203	
00:01:57.237	00:02:05.803	00:00:08.567	
00:02:05.803	00:02:08.696	00:00:02.893	
00:02:08.696	00:02:11.751	00:00:03.055	
00:02:11.751	00:02:23.992	00:00:12.241	
00:02:23.992	00:02:28.132	00:00:04.141	
00:02:28.132	00:02:34.364	00:00:06.231	
00:02:34.364	00:02:37.754	00:00:03.391	
00:02:37.754	00:02:52.218	00:00:14.464	
00:02:52.218	00:02:58.003	00:00:05.785	
00:02:58.003	00:03:03.132	00:00:05.129	
00:03:03.132	00:03:18.402	00:00:15.270	
00:03:18.402	00:03:23.358	00:00:04.956	
00:03:23.358	00:03:29.495	00:00:06.137	
00:03:29.495	00:03:32.991	00:00:03.496	
00:03:32.991	00:03:38.804	00:00:05.812	
00:03:38.804	00:03:51.208	00:00:12.404	
00:03:51.208	00:03:56.150	00:00:04.941	
00:03:56.150	00:04:00.702	00:00:04.553	
00:04:00.702	00:04:04.136	00:00:03.433	
00:04:04.136	00:04:11.881	00:00:07.745	
00:04:11.881	00:04:14.098	00:00:02.217	
00:04:14.098	00:04:32.744	00:00:18.646	
00:04:32.744	00:04:45.587	00:00:12.844	
00:04:45.587	00:04:51.198	00:00:05.611	
00:04:51.198	00:04:54.479	00:00:03.281	
00:04:54.479	00:04:58.475	00:00:03.995	
00:04:58.475	00:05:04.100	00:00:05.626	
00:05:04.100	00:05:08.183	00:00:04.083	
00:05:08.183	00:05:14.728	00:00:06.545	
00:05:14.728	00:05:18.265	00:00:03.537	
00:05:18.265	00:05:29.443	00:00:11.178	
00:05:29.443	00:05:32.471	00:00:03.028	
00:05:32.471	00:05:38.364	00:00:05.893	
00:05:38.364	00:05:56.523	00:00:18.159	
00:05:56.523	00:06:00.524	00:00:04.001	
00:06:00.524	00:06:12.590	00:00:12.066	
00:06:12.590	00:06:18.392	00:00:05.801	
00:06:18.392	00:06:24.875	00:00:06.484	
00:06:24.875	00:06:34.391	00:00:09.516	
00:06:34.391	00:06:38.419	00:00:04.028	
00:06:38.419	00:06:49.516	00:00:11.097	
00:06:49.516	00:06:57.281	00:00:07.764	
00:06:57.281	00:07:05.747	00:00:08.467	
00:07:05.747	00:07:14.263	00:00:08.516	
00:07:14.263	00:07:22.906	00:00:08.643	
00:07:22.906	00:07:27.528	00:00:04.623	
00:07:27.528	00:07:32.692	00:00:05.163	
00:07:32.692	00:07:43.195	00:00:10.503	
00:07:43.195	00:07:47.827	00:00:04.632	
00:07:47.827	00:07:59.191	00:00:11.364	
00:07:59.191	00:08:26.501	00:00:27.310	
00:08:26.501	00:08:41.410	00:00:14.909	
00:08:41.410	00:08:44.559	00:00:03.149	
00:08:44.559	00:08:47.098	00:00:02.539	
00:08:47.098	00:09:05.045	00:00:17.947	
00:09:05.045	00:09:11.074	00:00:06.028	
00:09:11.074	00:09:21.082	00:00:10.008	
00:09:21.082	00:09:25.952	00:00:04.870	
00:09:25.952	00:09:42.243	00:00:16.291	
00:09:42.243	00:09:44.920	00:00:02.677	
00:09:44.920	00:09:50.809	00:00:05.889	
00:09:50.809	00:09:53.927	00:00:03.118	
00:09:53.927	00:10:01.834	00:00:07.907	
00:10:01.834	00:10:05.012	00:00:03.178	
00:10:05.012	00:10:20.176	00:00:15.164	
00:10:20.176	00:10:22.835	00:00:02.658	
00:10:22.835	00:10:25.933	00:00:03.098	
00:10:25.933	00:10:30.222	00:00:04.289	
00:10:30.222	00:10:48.678	00:00:18.456	
00:10:48.678	00:10:53.078	00:00:04.400	
00:10:53.078	00:11:01.368	00:00:08.290	
00:11:01.368	00:11:20.288	00:00:18.919	
00:11:20.288	00:11:23.495	00:00:03.207	
00:11:23.495	00:11:26.579	00:00:03.084	
00:11:26.579	00:11:28.327	00:00:01.748	
00:11:28.327	00:11:41.198	00:00:12.871	
00:11:41.198	00:11:49.573	00:00:08.376	
00:11:49.573	00:11:54.720	00:00:05.146	
00:11:54.720	00:12:04.463	00:00:09.743	
00:12:04.463	00:12:18.675	00:00:14.213	
00:12:18.675	00:12:23.137	00:00:04.461	
00:12:23.137	00:12:27.077	00:00:03.941	
00:12:27.077	00:12:37.680	00:00:10.603	
00:12:37.680	00:12:40.835	00:00:03.155	
00:12:40.835	00:13:00.892	00:00:20.058	
00:13:00.892	00:13:05.724	00:00:04.832	
00:13:05.724	00:13:19.489	00:00:13.765	
00:13:19.489	00:13:24.923	00:00:05.434	
00:13:24.923	00:13:30.376	00:00:05.454	
00:13:30.376	00:13:42.750	00:00:12.373	
00:13:42.750	00:13:45.534	00:00:02.784	
00:13:45.534	00:13:47.291	00:00:01.757	
00:13:47.291	00:13:48.967	00:00:01.676	
00:13:48.967	00:14:00.443	00:00:11.476	
00:14:00.443	00:14:02.714	00:00:02.271	
00:14:02.714	00:14:12.784	00:00:10.070	
00:14:12.784	00:14:15.325	00:00:02.541	
00:14:15.325	00:14:19.353	00:00:04.028	
00:14:19.353	00:14:24.959	00:00:05.606	
00:14:24.959	00:14:26.619	00:00:01.660	
00:14:26.619	00:14:41.990	00:00:15.371	
00:14:41.990	00:14:44.358	00:00:02.368	
00:14:44.358	00:14:47.095	00:00:02.737	
00:14:47.095	00:14:49.468	00:00:02.372	
00:14:49.468	00:15:01.462	00:00:11.995	
00:15:01.462	00:15:04.139	00:00:02.676	
00:15:04.139	00:15:10.173	00:00:06.034	
00:15:10.173	00:15:17.364	00:00:07.191	
00:15:17.364	00:15:31.376	00:00:14.012	
00:15:31.376	00:15:44.736	00:00:13.360	
00:15:44.736	00:15:54.022	00:00:09.286	
00:15:54.022	00:15:58.960	00:00:04.938	
00:15:58.960	00:16:03.591	00:00:04.631	
00:16:03.591	00:16:11.296	00:00:07.705	
00:16:11.296	00:16:22.956	00:00:11.660	
00:16:22.956	00:16:33.321	00:00:10.365	
00:16:33.321	00:16:37.667	00:00:04.346	
00:16:37.667	00:16:40.425	00:00:02.757	
00:16:40.425	00:16:42.155	00:00:01.730	
00:16:42.155	00:16:44.020	00:00:01.865	
00:16:44.020	00:16:47.737	00:00:03.717	
00:16:47.737	00:16:50.004	00:00:02.266	
00:16:50.004	00:16:55.470	00:00:05.466	
00:16:55.470	00:17:02.931	00:00:07.461	
00:17:02.931	00:17:04.529	00:00:01.598	
00:17:04.529	00:17:13.865	00:00:09.336	
00:17:13.865	00:17:16.190	00:00:02.325	
00:17:16.190	00:17:26.580	00:00:10.390	
00:17:26.580	00:17:35.227	00:00:08.647	
00:17:35.227	00:17:38.381	00:00:03.154	
00:17:38.381	00:17:51.786	00:00:13.405	
00:17:51.786	00:17:54.412	00:00:02.626	
00:17:54.412	00:17:56.323	00:00:01.910	
00:17:56.323	00:17:58.522	00:00:02.199	
00:17:58.522	00:18:06.578	00:00:08.056	
00:18:06.578	00:18:16.285	00:00:09.707	
00:18:16.285	00:18:21.462	00:00:05.177	
00:18:21.462	00:18:32.027	00:00:10.565	
00:18:32.027	00:18:35.361	00:00:03.334	
00:18:35.361	00:18:38.443	00:00:03.082	
00:18:38.443	00:18:54.965	00:00:16.523	
00:18:54.965	00:19:00.327	00:00:05.362	
00:19:00.327	00:19:10.983	00:00:10.656	
00:19:10.983	00:19:18.500	00:00:07.517	
00:19:18.500	00:19:24.945	00:00:06.446	
00:19:24.945	00:19:28.608	00:00:03.663	
00:19:28.608	00:19:38.268	00:00:09.660	
00:19:38.268	00:19:50.839	00:00:12.571	
00:19:50.839	00:19:58.462	00:00:07.623	
00:19:58.462	00:20:10.741	00:00:12.279	
00:20:10.741	00:20:14.112	00:00:03.370	
00:20:14.112	00:20:20.957	00:00:06.845	
00:20:20.957	00:20:24.264	00:00:03.307	
00:20:24.264	00:20:28.585	00:00:04.321	
00:20:28.585	00:20:31.254	00:00:02.670	
00:20:31.254	00:20:39.599	00:00:08.344	
00:20:39.599	00:20:50.825	00:00:11.226	
00:20:50.825	00:20:59.451	00:00:08.626	
00:20:59.451	00:21:18.950	00:00:19.499	
00:21:18.950	00:21:35.713	00:00:16.763	
00:21:35.713	00:21:50.068	00:00:14.355	
00:21:50.068	00:21:54.629	00:00:04.561	
00:21:54.629	00:21:56.738	00:00:02.109	
00:21:56.738	00:21:59.712	00:00:02.974	
00:21:59.712	00:22:17.024	00:00:17.313	
00:22:17.024	00:22:20.133	00:00:03.109	
00:22:20.133	00:22:33.542	00:00:13.409	
00:22:33.542	00:22:40.625	00:00:07.083	
00:22:40.625	00:23:04.423	00:00:23.798	
00:23:04.423	00:23:16.973	00:00:12.551	
00:23:16.973	00:23:30.541	00:00:13.567	
00:23:30.541	00:24:01.936	00:00:31.395	
00:24:01.936	00:24:09.902	00:00:07.967	
00:24:09.902	00:24:21.621	00:00:11.719	
00:24:21.621	00:24:51.142	00:00:29.522	
00:24:51.142	00:25:24.148	00:00:33.005	
00:25:24.148	00:25:42.255	00:00:18.107	
00:25:42.255	00:25:45.120	00:00:02.866	
00:25:45.120	00:25:49.229	00:00:04.109	
00:25:49.229	00:26:05.790	00:00:16.560	
00:26:05.790	00:26:29.449	00:00:23.659	
00:26:29.449	00:26:46.503	00:00:17.054	
00:26:46.503	00:26:50.024	00:00:03.521	
00:26:50.024	00:26:55.731	00:00:05.707	
00:26:55.731	00:26:58.399	00:00:02.667	
00:26:58.399	00:27:02.472	00:00:04.073	
00:27:02.472	00:27:17.520	00:00:15.049	
00:27:17.520	00:27:41.292	00:00:23.772	
00:27:41.292	00:27:45.286	00:00:03.994	
00:27:45.286	00:27:48.674	00:00:03.388	
00:27:48.674	00:28:02.876	00:00:14.202	
00:28:02.876	00:28:12.590	00:00:09.714	
00:28:12.590	00:28:22.718	00:00:10.129	
00:28:22.718	00:28:32.515	00:00:09.797	
00:28:32.515	00:28:37.165	00:00:04.650	
00:28:37.165	00:28:48.361	00:00:11.196	
00:28:48.361	00:28:55.876	00:00:07.515	
00:28:55.876	00:28:58.003	00:00:02.127	
00:28:58.003	00:29:04.274	00:00:06.272	
00:29:04.274	00:29:08.419	00:00:04.145	
00:29:08.419	00:29:13.412	00:00:04.992	
00:29:13.412	00:29:20.945	00:00:07.533	
00:29:20.945	00:29:23.912	00:00:02.967	
00:29:23.912	00:29:26.102	00:00:02.191	
00:29:26.102	00:29:39.930	00:00:13.828	
00:29:39.930	00:29:42.120	00:00:02.190	
00:29:42.120	00:29:46.716	00:00:04.596	
00:29:46.716	00:29:48.905	00:00:02.190	
00:29:48.905	00:30:01.522	00:00:12.617	
00:30:01.522	00:30:11.827	00:00:10.305	
00:30:11.827	00:30:20.872	00:00:09.045	
00:30:20.872	00:30:25.471	00:00:04.598	
00:30:25.471	00:30:39.651	00:00:14.181	
00:30:39.651	00:30:44.878	00:00:05.226	
00:30:44.878	00:31:02.139	00:00:17.262	
00:31:02.139	00:31:05.802	00:00:03.662	
00:31:05.802	00:31:26.269	00:00:20.467	
00:31:26.269	00:31:34.811	00:00:08.543	
00:31:34.811	00:31:37.979	00:00:03.168	
00:31:37.979	00:32:03.966	00:00:25.987	
00:32:03.966	00:32:17.339	00:00:13.373	
00:32:17.339	00:32:21.196	00:00:03.857	
00:32:21.196	00:32:23.647	00:00:02.451	
00:32:23.647	00:32:30.240	00:00:06.593	
