Start	End	Length	Name
00:00:00.000	00:00:04.360	00:00:04.360	
00:00:04.360	00:00:39.441	00:00:35.081	
00:00:39.441	00:01:05.830	00:00:26.390	
00:01:05.830	00:01:10.518	00:00:04.687	
00:01:10.518	00:01:23.643	00:00:13.125	
00:01:23.643	00:01:35.291	00:00:11.648	
00:01:35.291	00:01:40.479	00:00:05.188	
00:01:40.479	00:02:00.635	00:00:20.156	
00:02:00.635	00:02:24.515	00:00:23.880	
00:02:24.515	00:02:31.016	00:00:06.501	
00:02:31.016	00:02:36.782	00:00:05.766	
00:02:36.782	00:02:39.887	00:00:03.105	
00:02:39.887	00:02:45.826	00:00:05.939	
00:02:45.826	00:03:00.679	00:00:14.853	
00:03:00.679	00:03:13.526	00:00:12.847	
00:03:13.526	00:03:23.595	00:00:10.069	
00:03:23.595	00:03:30.032	00:00:06.436	
00:03:30.032	00:03:43.837	00:00:13.805	
00:03:43.837	00:04:01.695	00:00:17.858	
00:04:01.695	00:04:18.279	00:00:16.585	
00:04:18.279	00:04:45.688	00:00:27.409	
00:04:45.688	00:05:22.534	00:00:36.846	
00:05:22.534	00:05:57.403	00:00:34.869	
00:05:57.403	00:06:19.700	00:00:22.297	
00:06:19.700	00:06:41.031	00:00:21.331	
00:06:41.031	00:07:07.066	00:00:26.035	
00:07:07.066	00:07:20.957	00:00:13.891	
00:07:20.957	00:07:39.957	00:00:18.999	
00:07:39.957	00:08:07.481	00:00:27.524	
00:08:07.481	00:08:21.488	00:00:14.008	
00:08:21.488	00:08:26.776	00:00:05.287	
00:08:26.776	00:08:45.322	00:00:18.547	
00:08:45.322	00:08:53.318	00:00:07.996	
00:08:53.318	00:08:54.435	00:00:01.117	
00:08:54.435	00:08:56.559	00:00:02.124	
00:08:56.559	00:09:01.175	00:00:04.616	
00:09:01.175	00:09:05.570	00:00:04.395	
00:09:05.570	00:09:15.787	00:00:10.217	
00:09:15.787	00:09:26.142	00:00:10.355	
00:09:26.142	00:09:36.568	00:00:10.426	
00:09:36.568	00:09:38.462	00:00:01.894	
00:09:38.462	00:09:55.698	00:00:17.236	
00:09:55.698	00:09:57.125	00:00:01.427	
00:09:57.125	00:10:07.977	00:00:10.852	
00:10:07.977	00:10:11.637	00:00:03.660	
00:10:11.637	00:10:16.663	00:00:05.026	
00:10:16.663	00:10:21.269	00:00:04.606	
00:10:21.269	00:10:29.424	00:00:08.155	
00:10:29.424	00:10:46.160	00:00:16.736	
