Start	End	Length	Name
00:00:00.000	00:00:04.508	00:00:04.508	
00:00:04.508	00:00:31.327	00:00:26.819	
00:00:31.327	00:00:36.072	00:00:04.746	
00:00:36.072	00:00:47.680	00:00:11.608	
00:00:47.680	00:00:57.858	00:00:10.178	
00:00:57.858	00:01:05.667	00:00:07.809	
00:01:05.667	00:01:12.081	00:00:06.413	
00:01:12.081	00:01:17.860	00:00:05.779	
00:01:17.860	00:01:28.773	00:00:10.914	
00:01:28.773	00:01:30.918	00:00:02.145	
00:01:30.918	00:01:36.151	00:00:05.233	
00:01:36.151	00:01:43.976	00:00:07.825	
00:01:43.976	00:01:54.868	00:00:10.892	
00:01:54.868	00:01:57.977	00:00:03.109	
00:01:57.977	00:02:03.392	00:00:05.415	
00:02:03.392	00:02:17.652	00:00:14.260	
00:02:17.652	00:02:24.043	00:00:06.391	
00:02:24.043	00:02:35.670	00:00:11.627	
00:02:35.670	00:02:44.242	00:00:08.572	
00:02:44.242	00:02:57.708	00:00:13.466	
00:02:57.708	00:03:02.915	00:00:05.208	
00:03:02.915	00:03:03.960	00:00:01.045	
00:03:03.960	00:03:06.033	00:00:02.073	
00:03:06.033	00:03:09.367	00:00:03.334	
00:03:09.367	00:03:14.503	00:00:05.136	
00:03:14.503	00:03:17.909	00:00:03.406	
00:03:17.909	00:03:34.528	00:00:16.619	
00:03:34.528	00:03:41.677	00:00:07.149	
00:03:41.677	00:03:48.536	00:00:06.859	
00:03:48.536	00:03:54.390	00:00:05.853	
00:03:54.390	00:03:58.175	00:00:03.786	
00:03:58.175	00:04:01.411	00:00:03.236	
00:04:01.411	00:04:02.885	00:00:01.473	
00:04:02.885	00:04:05.984	00:00:03.100	
00:04:05.984	00:04:08.350	00:00:02.365	
00:04:08.350	00:04:31.905	00:00:23.555	
00:04:31.905	00:04:45.327	00:00:13.422	
00:04:45.327	00:04:55.550	00:00:10.223	
00:04:55.550	00:05:15.589	00:00:20.039	
00:05:15.589	00:05:28.600	00:00:13.011	
