Start	End	Length	Name
00:00:00.000	00:00:03.476	00:00:03.476	
00:00:03.476	00:00:18.721	00:00:15.244	
00:00:18.721	00:00:23.402	00:00:04.681	
00:00:23.402	00:00:44.305	00:00:20.903	
00:00:44.305	00:01:02.340	00:00:18.035	
00:01:02.340	00:01:08.258	00:00:05.918	
00:01:08.258	00:01:18.009	00:00:09.752	
00:01:18.009	00:01:22.572	00:00:04.562	
00:01:22.572	00:01:26.763	00:00:04.191	
00:01:26.763	00:01:30.480	00:00:03.717	
00:01:30.480	00:01:41.034	00:00:10.554	
00:01:41.034	00:01:42.974	00:00:01.940	
00:01:42.974	00:01:51.834	00:00:08.860	
00:01:51.834	00:01:57.285	00:00:05.451	
00:01:57.285	00:02:04.494	00:00:07.209	
00:02:04.494	00:02:07.621	00:00:03.127	
00:02:07.621	00:02:15.027	00:00:07.406	
00:02:15.027	00:02:17.737	00:00:02.710	
00:02:17.737	00:02:28.588	00:00:10.851	
00:02:28.588	00:02:39.722	00:00:11.134	
00:02:39.722	00:02:43.298	00:00:03.577	
00:02:43.298	00:02:52.125	00:00:08.827	
00:02:52.125	00:02:57.189	00:00:05.063	
00:02:57.189	00:03:03.241	00:00:06.052	
00:03:03.241	00:03:06.317	00:00:03.076	
00:03:06.317	00:03:18.597	00:00:12.280	
00:03:18.597	00:03:22.832	00:00:04.235	
00:03:22.832	00:03:24.677	00:00:01.845	
00:03:24.677	00:03:28.986	00:00:04.308	
00:03:28.986	00:03:35.699	00:00:06.713	
00:03:35.699	00:03:46.152	00:00:10.453	
00:03:46.152	00:03:54.346	00:00:08.195	
00:03:54.346	00:04:07.397	00:00:13.050	
00:04:07.397	00:04:10.826	00:00:03.430	
00:04:10.826	00:04:17.341	00:00:06.515	
00:04:17.341	00:04:23.858	00:00:06.517	
00:04:23.858	00:04:33.453	00:00:09.594	
00:04:33.453	00:04:35.364	00:00:01.911	
00:04:35.364	00:04:42.560	00:00:07.196	
