Start	End	Length	Name
00:00:00.000	00:00:04.605	00:00:04.605	
00:00:04.605	00:00:28.062	00:00:23.457	
00:00:28.062	00:01:04.331	00:00:36.269	
00:01:04.331	00:01:28.008	00:00:23.677	
00:01:28.008	00:01:52.014	00:00:24.006	
00:01:52.014	00:02:00.850	00:00:08.836	
00:02:00.850	00:02:18.592	00:00:17.742	
00:02:18.592	00:02:36.051	00:00:17.459	
00:02:36.051	00:03:04.845	00:00:28.794	
00:03:04.845	00:03:12.044	00:00:07.199	
00:03:12.044	00:03:30.581	00:00:18.537	
00:03:30.581	00:03:51.773	00:00:21.193	
00:03:51.773	00:04:00.789	00:00:09.015	
00:04:00.789	00:04:05.866	00:00:05.077	
00:04:05.866	00:04:16.129	00:00:10.263	
00:04:16.129	00:04:33.246	00:00:17.117	
00:04:33.246	00:04:57.054	00:00:23.808	
00:04:57.054	00:05:15.112	00:00:18.058	
00:05:15.112	00:05:31.401	00:00:16.289	
00:05:31.401	00:05:37.241	00:00:05.840	
00:05:37.241	00:05:53.132	00:00:15.892	
00:05:53.132	00:06:18.267	00:00:25.134	
