Start	End	Length	Name
00:00:00.000	00:00:03.934	00:00:03.934	
00:00:03.934	00:00:13.227	00:00:09.293	
00:00:13.227	00:00:17.945	00:00:04.717	
00:00:17.945	00:00:49.474	00:00:31.530	
00:00:49.474	00:01:11.602	00:00:22.127	
00:01:11.602	00:01:43.746	00:00:32.144	
00:01:43.746	00:02:01.516	00:00:17.770	
00:02:01.516	00:02:32.201	00:00:30.685	
00:02:32.201	00:02:48.888	00:00:16.686	
00:02:48.888	00:03:17.054	00:00:28.166	
00:03:17.054	00:03:53.121	00:00:36.067	
00:03:53.121	00:04:20.222	00:00:27.101	
00:04:20.222	00:04:47.868	00:00:27.646	
00:04:47.868	00:05:27.443	00:00:39.575	
00:05:27.443	00:05:51.122	00:00:23.680	
00:05:51.122	00:06:41.485	00:00:50.362	
00:06:41.485	00:07:30.384	00:00:48.899	
00:07:30.384	00:07:32.736	00:00:02.352	
00:07:32.736	00:08:22.158	00:00:49.422	
00:08:22.158	00:08:47.025	00:00:24.867	
00:08:47.025	00:09:08.125	00:00:21.100	
00:09:08.125	00:09:36.159	00:00:28.034	
00:09:36.159	00:09:50.467	00:00:14.307	
00:09:50.467	00:10:16.411	00:00:25.945	
00:10:16.411	00:10:38.396	00:00:21.985	
00:10:38.396	00:10:41.090	00:00:02.693	
00:10:41.090	00:10:44.985	00:00:03.895	
00:10:44.985	00:10:49.511	00:00:04.526	
00:10:49.511	00:10:54.056	00:00:04.545	
00:10:54.056	00:10:57.516	00:00:03.460	
00:10:57.516	00:11:13.650	00:00:16.135	
00:11:13.650	00:11:20.161	00:00:06.511	
00:11:20.161	00:11:26.848	00:00:06.687	
00:11:26.848	00:11:37.077	00:00:10.229	
00:11:37.077	00:11:46.233	00:00:09.155	
00:11:46.233	00:11:53.718	00:00:07.485	
00:11:53.718	00:12:00.084	00:00:06.366	
00:12:00.084	00:12:14.786	00:00:14.702	
00:12:14.786	00:12:25.928	00:00:11.142	
00:12:25.928	00:12:29.320	00:00:03.392	
00:12:29.320	00:12:39.880	00:00:10.560	
00:12:39.880	00:12:43.395	00:00:03.516	
00:12:43.395	00:12:48.111	00:00:04.715	
00:12:48.111	00:13:13.292	00:00:25.181	
00:13:13.292	00:13:38.623	00:00:25.331	
00:13:38.623	00:14:12.465	00:00:33.842	
00:14:12.465	00:14:21.250	00:00:08.785	
00:14:21.250	00:14:26.077	00:00:04.827	
00:14:26.077	00:14:27.851	00:00:01.774	
00:14:27.851	00:14:35.761	00:00:07.911	
00:14:35.761	00:14:49.037	00:00:13.276	
00:14:49.037	00:14:57.268	00:00:08.231	
00:14:57.268	00:15:01.537	00:00:04.269	
00:15:01.537	00:15:11.154	00:00:09.617	
00:15:11.154	00:15:17.019	00:00:05.865	
00:15:17.019	00:15:28.214	00:00:11.195	
00:15:28.214	00:15:29.821	00:00:01.607	
00:15:29.821	00:15:35.733	00:00:05.911	
00:15:35.733	00:15:46.093	00:00:10.361	
00:15:46.093	00:16:03.822	00:00:17.729	
00:16:03.822	00:16:15.609	00:00:11.787	
00:16:15.609	00:16:18.746	00:00:03.137	
00:16:18.746	00:16:28.212	00:00:09.466	
00:16:28.212	00:17:00.365	00:00:32.154	
00:17:00.365	00:17:06.213	00:00:05.848	
00:17:06.213	00:17:07.762	00:00:01.549	
00:17:07.762	00:17:09.309	00:00:01.547	
00:17:09.309	00:17:11.789	00:00:02.480	
00:17:11.789	00:17:22.103	00:00:10.313	
00:17:22.103	00:17:25.588	00:00:03.486	
00:17:25.588	00:17:58.314	00:00:32.726	
00:17:58.314	00:18:15.245	00:00:16.931	
00:18:15.245	00:18:32.529	00:00:17.283	
00:18:32.529	00:18:38.572	00:00:06.043	
00:18:38.572	00:18:53.787	00:00:15.215	
