Start	End	Length	Name
00:00:00.000	00:00:04.771	00:00:04.771	
00:00:04.771	00:00:15.694	00:00:10.923	
00:00:15.694	00:00:20.317	00:00:04.623	
00:00:20.317	00:00:25.629	00:00:05.312	
00:00:25.629	00:00:28.934	00:00:03.305	
00:00:28.934	00:00:34.922	00:00:05.988	
00:00:34.922	00:00:38.260	00:00:03.339	
00:00:38.260	00:00:44.838	00:00:06.578	
00:00:44.838	00:00:46.237	00:00:01.399	
00:00:46.237	00:00:47.630	00:00:01.392	
00:00:47.630	00:00:50.482	00:00:02.852	
00:00:50.482	00:00:54.987	00:00:04.506	
00:00:54.987	00:01:00.971	00:00:05.983	
00:01:00.971	00:01:03.282	00:00:02.311	
00:01:03.282	00:01:07.472	00:00:04.190	
00:01:07.472	00:01:09.968	00:00:02.496	
00:01:09.968	00:01:19.378	00:00:09.409	
00:01:19.378	00:01:21.108	00:00:01.730	
00:01:21.108	00:01:22.550	00:00:01.442	
00:01:22.550	00:01:23.938	00:00:01.388	
00:01:23.938	00:01:27.885	00:00:03.947	
00:01:27.885	00:01:30.432	00:00:02.548	
00:01:30.432	00:01:31.662	00:00:01.230	
00:01:31.662	00:01:34.582	00:00:02.920	
00:01:34.582	00:01:39.347	00:00:04.765	
00:01:39.347	00:01:43.409	00:00:04.062	
00:01:43.409	00:01:48.072	00:00:04.663	
00:01:48.072	00:01:59.540	00:00:11.468	
00:01:59.540	00:02:03.054	00:00:03.514	
00:02:03.054	00:02:08.217	00:00:05.163	
00:02:08.217	00:02:13.577	00:00:05.359	
00:02:13.577	00:02:19.916	00:00:06.339	
00:02:19.916	00:02:27.859	00:00:07.942	
00:02:27.859	00:02:30.292	00:00:02.433	
00:02:30.292	00:02:35.185	00:00:04.893	
00:02:35.185	00:02:50.825	00:00:15.640	
00:02:50.825	00:03:03.463	00:00:12.638	
00:03:03.463	00:03:18.267	00:00:14.804	
00:03:18.267	00:03:37.293	00:00:19.026	
00:03:37.293	00:03:59.514	00:00:22.222	
00:03:59.514	00:05:02.467	00:01:02.952	
