Start	End	Length	Name
00:00:00.000	00:00:04.215	00:00:04.215	
00:00:04.215	00:00:17.458	00:00:13.243	
00:00:17.458	00:00:21.536	00:00:04.078	
00:00:21.536	00:00:24.517	00:00:02.981	
00:00:24.517	00:00:33.667	00:00:09.150	
00:00:33.667	00:00:52.767	00:00:19.099	
00:00:52.767	00:01:00.981	00:00:08.214	
00:01:00.981	00:01:56.450	00:00:55.469	
00:01:56.450	00:01:59.485	00:00:03.035	
00:01:59.485	00:02:17.043	00:00:17.558	
00:02:17.043	00:02:20.191	00:00:03.148	
00:02:20.191	00:02:39.682	00:00:19.490	
00:02:39.682	00:02:44.070	00:00:04.388	
00:02:44.070	00:02:48.939	00:00:04.869	
00:02:48.939	00:02:56.790	00:00:07.851	
00:02:56.790	00:03:03.136	00:00:06.346	
00:03:03.136	00:03:09.273	00:00:06.137	
00:03:09.273	00:03:10.850	00:00:01.578	
00:03:10.850	00:03:18.590	00:00:07.739	
00:03:18.590	00:03:20.782	00:00:02.192	
00:03:20.782	00:03:27.150	00:00:06.369	
00:03:27.150	00:03:50.372	00:00:23.221	
00:03:50.372	00:03:57.307	00:00:06.936	
00:03:57.307	00:04:01.518	00:00:04.211	
00:04:01.518	00:04:14.625	00:00:13.107	
00:04:14.625	00:04:29.942	00:00:15.316	
00:04:29.942	00:04:38.747	00:00:08.805	
00:04:38.747	00:05:15.440	00:00:36.693	
00:05:15.440	00:05:18.502	00:00:03.063	
00:05:18.502	00:05:20.875	00:00:02.372	
00:05:20.875	00:05:29.311	00:00:08.437	
00:05:29.311	00:05:52.244	00:00:22.932	
00:05:52.244	00:06:09.063	00:00:16.820	
00:06:09.063	00:06:29.816	00:00:20.753	
00:06:29.816	00:06:42.150	00:00:12.334	
00:06:42.150	00:06:49.503	00:00:07.353	
00:06:49.503	00:06:57.060	00:00:07.557	
00:06:57.060	00:07:18.834	00:00:21.775	
00:07:18.834	00:07:40.481	00:00:21.647	
00:07:40.481	00:07:46.625	00:00:06.144	
00:07:46.625	00:08:00.511	00:00:13.886	
00:08:00.511	00:08:29.197	00:00:28.687	
00:08:29.197	00:08:48.095	00:00:18.897	
00:08:48.095	00:09:39.876	00:00:51.781	
00:09:39.876	00:09:53.099	00:00:13.223	
00:09:53.099	00:09:56.173	00:00:03.074	
00:09:56.173	00:10:05.215	00:00:09.042	
00:10:05.215	00:10:16.801	00:00:11.586	
00:10:16.801	00:10:31.416	00:00:14.615	
00:10:31.416	00:10:33.108	00:00:01.692	
00:10:33.108	00:10:38.047	00:00:04.939	
00:10:38.047	00:10:44.260	00:00:06.213	
00:10:44.260	00:10:47.838	00:00:03.577	
00:10:47.838	00:10:49.928	00:00:02.091	
00:10:49.928	00:10:57.547	00:00:07.619	
00:10:57.547	00:10:58.925	00:00:01.377	
00:10:58.925	00:11:12.580	00:00:13.655	
00:11:12.580	00:11:25.883	00:00:13.303	
00:11:25.883	00:11:27.384	00:00:01.501	
00:11:27.384	00:11:30.009	00:00:02.626	
00:11:30.009	00:11:37.928	00:00:07.919	
00:11:37.928	00:11:39.397	00:00:01.469	
00:11:39.397	00:11:41.280	00:00:01.883	
00:11:41.280	00:11:46.036	00:00:04.756	
00:11:46.036	00:11:48.449	00:00:02.413	
00:11:48.449	00:11:51.990	00:00:03.541	
00:11:51.990	00:11:54.628	00:00:02.638	
00:11:54.628	00:12:10.343	00:00:15.715	
00:12:10.343	00:12:35.270	00:00:24.927	
00:12:35.270	00:12:36.985	00:00:01.716	
00:12:36.985	00:12:40.887	00:00:03.902	
00:12:40.887	00:12:44.370	00:00:03.483	
00:12:44.370	00:12:58.655	00:00:14.285	
00:12:58.655	00:13:00.791	00:00:02.136	
00:13:00.791	00:13:16.156	00:00:15.366	
00:13:16.156	00:13:21.781	00:00:05.625	
00:13:21.781	00:13:35.140	00:00:13.359	
00:13:35.140	00:13:50.023	00:00:14.884	
00:13:50.023	00:14:05.047	00:00:15.023	
00:14:05.047	00:14:13.147	00:00:08.100	
00:14:13.147	00:14:19.216	00:00:06.069	
00:14:19.216	00:14:27.519	00:00:08.303	
00:14:27.519	00:14:32.970	00:00:05.451	
00:14:32.970	00:14:37.906	00:00:04.935	
00:14:37.906	00:14:40.314	00:00:02.408	
00:14:40.314	00:15:06.823	00:00:26.509	
00:15:06.823	00:15:13.245	00:00:06.421	
00:15:13.245	00:15:19.801	00:00:06.556	
00:15:19.801	00:15:28.253	00:00:08.452	
00:15:28.253	00:15:31.874	00:00:03.621	
00:15:31.874	00:15:36.481	00:00:04.607	
00:15:36.481	00:15:41.599	00:00:05.118	
00:15:41.599	00:15:47.602	00:00:06.003	
00:15:47.602	00:15:50.828	00:00:03.226	
00:15:50.828	00:16:07.080	00:00:16.252	
00:16:07.080	00:16:23.055	00:00:15.975	
00:16:23.055	00:16:44.323	00:00:21.269	
00:16:44.323	00:16:49.947	00:00:05.624	
00:16:49.947	00:16:52.002	00:00:02.055	
00:16:52.002	00:16:54.597	00:00:02.595	
00:16:54.597	00:17:07.947	00:00:13.350	
00:17:07.947	00:17:17.493	00:00:09.547	
