Start	End	Length	Name
00:00:00.000	00:00:04.408	00:00:04.408	
00:00:04.408	00:00:31.661	00:00:27.253	
00:00:31.661	00:00:48.692	00:00:17.031	
00:00:48.692	00:01:31.426	00:00:42.734	
00:01:31.426	00:01:48.816	00:00:17.390	
00:01:48.816	00:02:31.051	00:00:42.235	
00:02:31.051	00:02:47.265	00:00:16.215	
00:02:47.265	00:03:13.683	00:00:26.418	
00:03:13.683	00:03:38.790	00:00:25.107	
00:03:38.790	00:03:59.551	00:00:20.761	
00:03:59.551	00:04:19.415	00:00:19.864	
00:04:19.415	00:04:38.477	00:00:19.061	
00:04:38.477	00:05:00.988	00:00:22.511	
00:05:00.988	00:05:08.719	00:00:07.732	
00:05:08.719	00:05:30.627	00:00:21.908	
00:05:30.627	00:05:51.354	00:00:20.727	
00:05:51.354	00:06:15.525	00:00:24.171	
00:06:15.525	00:06:40.395	00:00:24.871	
00:06:40.395	00:07:27.080	00:00:46.684	
00:07:27.080	00:07:41.505	00:00:14.425	
00:07:41.505	00:07:56.076	00:00:14.571	
00:07:56.076	00:08:18.846	00:00:22.770	
00:08:18.846	00:08:25.335	00:00:06.488	
00:08:25.335	00:08:34.864	00:00:09.529	
00:08:34.864	00:08:49.367	00:00:14.504	
00:08:49.367	00:09:03.582	00:00:14.214	
00:09:03.582	00:09:16.975	00:00:13.394	
00:09:16.975	00:09:30.965	00:00:13.990	
00:09:30.965	00:09:50.267	00:00:19.302	
00:09:50.267	00:09:55.539	00:00:05.272	
00:09:55.539	00:09:58.188	00:00:02.649	
00:09:58.188	00:10:05.732	00:00:07.544	
00:10:05.732	00:10:25.936	00:00:20.204	
00:10:25.936	00:10:38.351	00:00:12.415	
00:10:38.351	00:10:49.322	00:00:10.970	
00:10:49.322	00:11:04.461	00:00:15.139	
00:11:04.461	00:11:34.247	00:00:29.786	
00:11:34.247	00:11:53.832	00:00:19.585	
00:11:53.832	00:12:10.823	00:00:16.991	
00:12:10.823	00:12:32.255	00:00:21.432	
00:12:32.255	00:13:01.160	00:00:28.905	
