Start	End	Length	Name
00:00:00.000	00:00:05.054	00:00:05.054	
00:00:05.054	00:00:11.349	00:00:06.295	
00:00:11.349	00:00:20.845	00:00:09.496	
00:00:20.845	00:00:30.157	00:00:09.312	
00:00:30.157	00:00:32.901	00:00:02.744	
00:00:32.901	00:00:55.874	00:00:22.974	
00:00:55.874	00:01:09.579	00:00:13.705	
00:01:09.579	00:01:11.931	00:00:02.352	
00:01:11.931	00:01:33.923	00:00:21.992	
00:01:33.923	00:01:56.547	00:00:22.624	
00:01:56.547	00:02:10.738	00:00:14.191	
00:02:10.738	00:02:16.962	00:00:06.224	
00:02:16.962	00:02:21.908	00:00:04.946	
00:02:21.908	00:02:30.672	00:00:08.764	
00:02:30.672	00:02:40.589	00:00:09.917	
00:02:40.589	00:02:43.258	00:00:02.669	
00:02:43.258	00:02:56.203	00:00:12.945	
00:02:56.203	00:02:58.980	00:00:02.776	
00:02:58.980	00:03:34.331	00:00:35.351	
00:03:34.331	00:04:02.930	00:00:28.600	
00:04:02.930	00:04:29.372	00:00:26.442	
00:04:29.372	00:04:32.514	00:00:03.141	
00:04:32.514	00:04:43.816	00:00:11.302	
00:04:43.816	00:05:11.124	00:00:27.308	
00:05:11.124	00:05:25.796	00:00:14.672	
00:05:25.796	00:05:45.381	00:00:19.586	
00:05:45.381	00:06:10.662	00:00:25.280	
00:06:10.662	00:06:42.679	00:00:32.017	
00:06:42.679	00:06:54.599	00:00:11.920	
00:06:54.599	00:07:12.001	00:00:17.402	
00:07:12.001	00:07:31.732	00:00:19.731	
00:07:31.732	00:07:58.795	00:00:27.064	
00:07:58.795	00:08:36.960	00:00:38.165	
00:08:36.960	00:09:26.440	00:00:49.480	
00:09:26.440	00:09:49.273	00:00:22.833	
00:09:49.273	00:10:00.000	00:00:10.727	
00:10:00.000	00:10:11.845	00:00:11.845	
00:10:11.845	00:10:35.062	00:00:23.217	
00:10:35.062	00:11:00.564	00:00:25.502	
00:11:00.564	00:11:25.905	00:00:25.340	
00:11:25.905	00:11:42.121	00:00:16.216	
00:11:42.121	00:12:19.625	00:00:37.504	
00:12:19.625	00:13:05.173	00:00:45.548	
00:13:05.173	00:13:17.855	00:00:12.682	
00:13:17.855	00:13:41.202	00:00:23.348	
00:13:41.202	00:13:52.448	00:00:11.246	
00:13:52.448	00:13:58.792	00:00:06.343	
00:13:58.792	00:14:01.376	00:00:02.584	
00:14:01.376	00:14:10.281	00:00:08.905	
00:14:10.281	00:14:15.397	00:00:05.116	
00:14:15.397	00:14:45.243	00:00:29.847	
00:14:45.243	00:14:52.897	00:00:07.653	
00:14:52.897	00:15:06.648	00:00:13.751	
00:15:06.648	00:15:12.107	00:00:05.459	
