Start	End	Length	Name
00:00:00.000	00:00:04.724	00:00:04.724	
00:00:04.724	00:00:17.293	00:00:12.569	
00:00:17.293	00:00:20.831	00:00:03.538	
00:00:20.831	00:00:25.102	00:00:04.271	
00:00:25.102	00:00:28.121	00:00:03.019	
00:00:28.121	00:00:29.437	00:00:01.316	
00:00:29.437	00:00:34.970	00:00:05.533	
00:00:34.970	00:00:40.899	00:00:05.929	
00:00:40.899	00:00:48.397	00:00:07.498	
00:00:48.397	00:00:52.189	00:00:03.791	
00:00:52.189	00:00:56.541	00:00:04.352	
00:00:56.541	00:01:06.048	00:00:09.507	
00:01:06.048	00:01:13.465	00:00:07.417	
00:01:13.465	00:01:16.756	00:00:03.291	
00:01:16.756	00:01:19.554	00:00:02.798	
00:01:19.554	00:01:25.344	00:00:05.790	
00:01:25.344	00:01:29.385	00:00:04.042	
00:01:29.385	00:01:33.981	00:00:04.596	
00:01:33.981	00:01:41.604	00:00:07.623	
00:01:41.604	00:01:47.849	00:00:06.245	
00:01:47.849	00:01:50.945	00:00:03.095	
00:01:50.945	00:01:56.649	00:00:05.704	
00:01:56.649	00:02:02.939	00:00:06.290	
00:02:02.939	00:02:15.752	00:00:12.814	
00:02:15.752	00:02:19.889	00:00:04.136	
00:02:19.889	00:02:22.497	00:00:02.609	
00:02:22.497	00:02:26.633	00:00:04.136	
00:02:26.633	00:02:28.583	00:00:01.950	
00:02:28.583	00:02:41.735	00:00:13.152	
00:02:41.735	00:02:45.322	00:00:03.586	
00:02:45.322	00:02:53.168	00:00:07.846	
00:02:53.168	00:02:59.385	00:00:06.218	
00:02:59.385	00:03:06.277	00:00:06.891	
00:03:06.277	00:03:17.645	00:00:11.369	
00:03:17.645	00:03:20.822	00:00:03.177	
00:03:20.822	00:03:33.961	00:00:13.138	
00:03:33.961	00:03:38.026	00:00:04.065	
00:03:38.026	00:03:44.176	00:00:06.150	
00:03:44.176	00:03:48.024	00:00:03.847	
00:03:48.024	00:03:53.668	00:00:05.644	
00:03:53.668	00:03:59.705	00:00:06.037	
00:03:59.705	00:04:05.754	00:00:06.049	
00:04:05.754	00:04:15.635	00:00:09.881	
00:04:15.635	00:04:21.528	00:00:05.893	
00:04:21.528	00:04:29.400	00:00:07.872	
