Start	End	Length	Name
00:00:00.000	00:00:04.279	00:00:04.279	
00:00:04.279	00:00:31.681	00:00:27.401	
00:00:31.681	00:00:48.073	00:00:16.392	
00:00:48.073	00:01:23.890	00:00:35.817	
00:01:23.890	00:01:44.639	00:00:20.749	
00:01:44.639	00:01:49.365	00:00:04.726	
00:01:49.365	00:01:57.661	00:00:08.296	
00:01:57.661	00:02:06.145	00:00:08.484	
00:02:06.145	00:02:17.979	00:00:11.834	
00:02:17.979	00:02:19.728	00:00:01.748	
00:02:19.728	00:02:23.935	00:00:04.208	
00:02:23.935	00:02:33.827	00:00:09.892	
00:02:33.827	00:02:36.945	00:00:03.118	
00:02:36.945	00:02:40.087	00:00:03.142	
00:02:40.087	00:02:48.035	00:00:07.948	
00:02:48.035	00:02:52.292	00:00:04.257	
00:02:52.292	00:02:54.556	00:00:02.264	
00:02:54.556	00:03:07.233	00:00:12.677	
00:03:07.233	00:03:38.304	00:00:31.071	
00:03:38.304	00:03:55.556	00:00:17.251	
00:03:55.556	00:04:26.256	00:00:30.700	
00:04:26.256	00:04:43.818	00:00:17.562	
00:04:43.818	00:05:26.767	00:00:42.948	
00:05:26.767	00:06:03.207	00:00:36.440	
00:06:03.207	00:06:11.784	00:00:08.577	
00:06:11.784	00:06:17.130	00:00:05.346	
00:06:17.130	00:06:20.753	00:00:03.623	
00:06:20.753	00:06:31.918	00:00:11.164	
00:06:31.918	00:06:35.111	00:00:03.193	
00:06:35.111	00:06:45.193	00:00:10.082	
00:06:45.193	00:07:02.069	00:00:16.876	
00:07:02.069	00:07:08.097	00:00:06.028	
00:07:08.097	00:07:17.127	00:00:09.030	
00:07:17.127	00:07:28.823	00:00:11.696	
00:07:28.823	00:07:30.507	00:00:01.684	
00:07:30.507	00:07:32.400	00:00:01.892	
00:07:32.400	00:07:42.358	00:00:09.959	
00:07:42.358	00:07:49.510	00:00:07.152	
00:07:49.510	00:08:02.463	00:00:12.953	
00:08:02.463	00:08:11.026	00:00:08.563	
00:08:11.026	00:08:13.221	00:00:02.195	
00:08:13.221	00:08:16.159	00:00:02.938	
00:08:16.159	00:08:24.535	00:00:08.376	
00:08:24.535	00:08:27.702	00:00:03.167	
00:08:27.702	00:08:32.586	00:00:04.884	
00:08:32.586	00:08:35.384	00:00:02.797	
00:08:35.384	00:08:42.847	00:00:07.464	
00:08:42.847	00:08:47.951	00:00:05.104	
00:08:47.951	00:08:54.853	00:00:06.903	
00:08:54.853	00:09:00.702	00:00:05.849	
00:09:00.702	00:09:06.392	00:00:05.689	
00:09:06.392	00:09:18.004	00:00:11.613	
00:09:18.004	00:09:29.674	00:00:11.670	
00:09:29.674	00:09:32.575	00:00:02.901	
00:09:32.575	00:09:33.967	00:00:01.392	
00:09:33.967	00:09:37.873	00:00:03.906	
00:09:37.873	00:09:41.753	00:00:03.879	
00:09:41.753	00:10:03.052	00:00:21.299	
00:10:03.052	00:10:06.201	00:00:03.150	
00:10:06.201	00:10:10.364	00:00:04.163	
00:10:10.364	00:10:15.672	00:00:05.307	
00:10:15.672	00:10:20.672	00:00:05.001	
00:10:20.672	00:10:22.500	00:00:01.828	
00:10:22.500	00:10:30.873	00:00:08.372	
00:10:30.873	00:10:35.774	00:00:04.901	
00:10:35.774	00:10:37.727	00:00:01.953	
00:10:37.727	00:10:39.755	00:00:02.028	
00:10:39.755	00:10:48.145	00:00:08.391	
00:10:48.145	00:10:53.293	00:00:05.148	
00:10:53.293	00:10:54.871	00:00:01.578	
00:10:54.871	00:10:59.441	00:00:04.570	
00:10:59.441	00:11:01.097	00:00:01.656	
00:11:01.097	00:11:14.037	00:00:12.940	
00:11:14.037	00:11:17.129	00:00:03.092	
00:11:17.129	00:11:20.253	00:00:03.125	
00:11:20.253	00:11:21.767	00:00:01.514	
00:11:21.767	00:11:24.973	00:00:03.206	
00:11:24.973	00:11:29.013	00:00:04.040	
00:11:29.013	00:11:50.327	00:00:21.313	
00:11:50.327	00:11:59.767	00:00:09.440	
00:11:59.767	00:12:03.159	00:00:03.393	
00:12:03.159	00:12:05.124	00:00:01.964	
00:12:05.124	00:12:07.242	00:00:02.118	
00:12:07.242	00:12:08.864	00:00:01.622	
00:12:08.864	00:12:16.316	00:00:07.452	
00:12:16.316	00:12:20.389	00:00:04.073	
00:12:20.389	00:12:23.510	00:00:03.121	
00:12:23.510	00:12:32.134	00:00:08.624	
00:12:32.134	00:12:33.558	00:00:01.424	
00:12:33.558	00:12:35.162	00:00:01.604	
00:12:35.162	00:12:36.532	00:00:01.370	
00:12:36.532	00:12:53.496	00:00:16.964	
00:12:53.496	00:12:54.974	00:00:01.478	
00:12:54.974	00:13:15.626	00:00:20.652	
00:13:15.626	00:13:17.320	00:00:01.694	
00:13:17.320	00:13:28.400	00:00:11.080	
00:13:28.400	00:13:31.687	00:00:03.287	
00:13:31.687	00:13:46.387	00:00:14.700	
00:13:46.387	00:13:53.028	00:00:06.641	
00:13:53.028	00:13:59.556	00:00:06.528	
00:13:59.556	00:14:04.224	00:00:04.668	
00:14:04.224	00:14:14.998	00:00:10.774	
00:14:14.998	00:14:16.782	00:00:01.784	
00:14:16.782	00:14:28.370	00:00:11.588	
00:14:28.370	00:14:32.160	00:00:03.790	
00:14:32.160	00:14:46.888	00:00:14.728	
00:14:46.888	00:14:49.429	00:00:02.541	
00:14:49.429	00:15:07.593	00:00:18.164	
00:15:07.593	00:15:17.560	00:00:09.967	
00:15:17.560	00:15:33.683	00:00:16.123	
00:15:33.683	00:15:41.225	00:00:07.542	
00:15:41.225	00:15:49.347	00:00:08.121	
00:15:49.347	00:16:06.028	00:00:16.682	
00:16:06.028	00:16:18.056	00:00:12.028	
00:16:18.056	00:16:22.783	00:00:04.726	
00:16:22.783	00:16:25.928	00:00:03.145	
00:16:25.928	00:16:33.597	00:00:07.670	
00:16:33.597	00:16:35.034	00:00:01.436	
00:16:35.034	00:16:36.453	00:00:01.419	
00:16:36.453	00:16:40.798	00:00:04.345	
00:16:40.798	00:16:42.627	00:00:01.829	
00:16:42.627	00:16:47.966	00:00:05.339	
00:16:47.966	00:16:56.630	00:00:08.664	
00:16:56.630	00:16:58.928	00:00:02.298	
00:16:58.928	00:17:07.627	00:00:08.699	
