Start	End	Length	Name
00:00:00.000	00:00:04.610	00:00:04.610	
00:00:04.610	00:00:09.956	00:00:05.346	
00:00:09.956	00:00:12.558	00:00:02.602	
00:00:12.558	00:00:16.072	00:00:03.514	
00:00:16.072	00:00:22.767	00:00:06.695	
00:00:22.767	00:00:26.126	00:00:03.359	
00:00:26.126	00:00:29.771	00:00:03.645	
00:00:29.771	00:00:33.090	00:00:03.318	
00:00:33.090	00:00:44.873	00:00:11.783	
00:00:44.873	00:00:51.568	00:00:06.695	
00:00:51.568	00:00:53.447	00:00:01.879	
00:00:53.447	00:00:55.204	00:00:01.757	
00:00:55.204	00:00:56.502	00:00:01.298	
00:00:56.502	00:01:00.570	00:00:04.069	
00:01:00.570	00:01:01.981	00:00:01.410	
00:01:01.981	00:01:07.144	00:00:05.163	
00:01:07.144	00:01:08.654	00:00:01.510	
00:01:08.654	00:01:10.465	00:00:01.811	
00:01:10.465	00:01:12.574	00:00:02.109	
00:01:12.574	00:01:14.871	00:00:02.298	
00:01:14.871	00:01:18.345	00:00:03.474	
00:01:18.345	00:01:22.552	00:00:04.207	
00:01:22.552	00:01:25.986	00:00:03.433	
00:01:25.986	00:01:33.041	00:00:07.056	
00:01:33.041	00:01:45.400	00:00:12.359	
00:01:45.400	00:01:54.812	00:00:09.412	
00:01:54.812	00:02:08.684	00:00:13.872	
00:02:08.684	00:02:18.755	00:00:10.070	
00:02:18.755	00:02:44.639	00:00:25.885	
00:02:44.639	00:03:12.423	00:00:27.783	
00:03:12.423	00:03:31.782	00:00:19.359	
00:03:31.782	00:03:51.097	00:00:19.316	
00:03:51.097	00:04:01.980	00:00:10.883	
00:04:01.980	00:04:14.777	00:00:12.797	
00:04:14.777	00:04:18.535	00:00:03.758	
00:04:18.535	00:04:40.267	00:00:21.732	
00:04:40.267	00:04:52.367	00:00:12.100	
00:04:52.367	00:04:54.617	00:00:02.251	
00:04:54.617	00:05:17.611	00:00:22.994	
00:05:17.611	00:05:33.395	00:00:15.784	
00:05:33.395	00:05:44.221	00:00:10.825	
00:05:44.221	00:06:03.092	00:00:18.871	
00:06:03.092	00:06:21.264	00:00:18.172	
00:06:21.264	00:06:38.250	00:00:16.986	
00:06:38.250	00:07:03.041	00:00:24.791	
00:07:03.041	00:07:18.487	00:00:15.447	
00:07:18.487	00:07:45.194	00:00:26.706	
00:07:45.194	00:08:11.013	00:00:25.819	
