Start	End	Length	Name
00:00:00.000	00:00:04.636	00:00:04.636	
00:00:04.636	00:00:34.880	00:00:30.244	
00:00:34.880	00:00:45.919	00:00:11.038	
00:00:45.919	00:01:09.671	00:00:23.752	
00:01:09.671	00:01:17.760	00:00:08.089	
00:01:17.760	00:01:25.446	00:00:07.686	
00:01:25.446	00:01:51.475	00:00:26.028	
00:01:51.475	00:02:00.336	00:00:08.862	
00:02:00.336	00:02:04.851	00:00:04.515	
00:02:04.851	00:02:14.199	00:00:09.348	
00:02:14.199	00:02:17.038	00:00:02.839	
00:02:17.038	00:02:27.148	00:00:10.111	
00:02:27.148	00:02:37.732	00:00:10.584	
00:02:37.732	00:02:48.093	00:00:10.361	
00:02:48.093	00:02:53.303	00:00:05.210	
00:02:53.303	00:02:57.988	00:00:04.685	
00:02:57.988	00:03:14.263	00:00:16.275	
00:03:14.263	00:03:24.965	00:00:10.702	
00:03:24.965	00:03:36.824	00:00:11.859	
00:03:36.824	00:03:57.512	00:00:20.688	
00:03:57.512	00:04:06.812	00:00:09.300	
00:04:06.812	00:04:12.739	00:00:05.928	
00:04:12.739	00:04:40.349	00:00:27.609	
00:04:40.349	00:04:53.985	00:00:13.636	
00:04:53.985	00:05:30.477	00:00:36.493	
00:05:30.477	00:05:40.998	00:00:10.521	
00:05:40.998	00:05:53.033	00:00:12.035	
00:05:53.033	00:06:29.441	00:00:36.409	
00:06:29.441	00:06:39.144	00:00:09.703	
00:06:39.144	00:06:59.893	00:00:20.749	
00:06:59.893	00:07:03.580	00:00:03.687	
00:07:03.580	00:07:28.628	00:00:25.048	
00:07:28.628	00:07:32.292	00:00:03.664	
00:07:32.292	00:07:36.743	00:00:04.451	
00:07:36.743	00:07:39.987	00:00:03.244	
00:07:39.987	00:07:54.925	00:00:14.938	
00:07:54.925	00:08:09.577	00:00:14.652	
00:08:09.577	00:08:13.157	00:00:03.580	
00:08:13.157	00:08:23.477	00:00:10.320	
00:08:23.477	00:08:30.580	00:00:07.103	
00:08:30.580	00:08:41.457	00:00:10.877	
00:08:41.457	00:08:45.715	00:00:04.258	
00:08:45.715	00:08:51.603	00:00:05.888	
00:08:51.603	00:09:02.781	00:00:11.178	
00:09:02.781	00:09:06.309	00:00:03.528	
00:09:06.309	00:09:13.972	00:00:07.663	
00:09:13.972	00:09:31.749	00:00:17.777	
00:09:31.749	00:09:42.265	00:00:10.517	
00:09:42.265	00:09:52.280	00:00:10.015	
