Start	End	Length	Name
00:00:00.000	00:00:04.928	00:00:04.928	
00:00:04.928	00:00:24.301	00:00:19.373	
00:00:24.301	00:01:08.408	00:00:44.107	
00:01:08.408	00:01:46.159	00:00:37.751	
00:01:46.159	00:02:07.434	00:00:21.275	
00:02:07.434	00:02:38.739	00:00:31.305	
00:02:38.739	00:03:17.300	00:00:38.561	
00:03:17.300	00:03:26.964	00:00:09.663	
00:03:26.964	00:04:51.344	00:01:24.380	
00:04:51.344	00:05:13.151	00:00:21.807	
00:05:13.151	00:05:48.641	00:00:35.490	
00:05:48.641	00:06:11.903	00:00:23.262	
00:06:11.903	00:06:39.276	00:00:27.373	
00:06:39.276	00:06:43.133	00:00:03.857	
00:06:43.133	00:06:56.989	00:00:13.857	
00:06:56.989	00:07:01.408	00:00:04.419	
00:07:01.408	00:07:11.122	00:00:09.714	
00:07:11.122	00:07:24.978	00:00:13.857	
00:07:24.978	00:07:29.085	00:00:04.107	
00:07:29.085	00:07:30.944	00:00:01.859	
00:07:30.944	00:07:40.410	00:00:09.466	
00:07:40.410	00:07:46.931	00:00:06.521	
00:07:46.931	00:07:51.742	00:00:04.811	
00:07:51.742	00:07:57.425	00:00:05.683	
00:07:57.425	00:08:04.614	00:00:07.189	
00:08:04.614	00:08:12.268	00:00:07.654	
00:08:12.268	00:08:19.506	00:00:07.238	
00:08:19.506	00:08:26.599	00:00:07.093	
00:08:26.599	00:08:51.082	00:00:24.483	
00:08:51.082	00:09:06.702	00:00:15.620	
00:09:06.702	00:09:13.297	00:00:06.595	
00:09:13.297	00:09:21.223	00:00:07.926	
00:09:21.223	00:09:25.081	00:00:03.858	
00:09:25.081	00:09:33.511	00:00:08.430	
00:09:33.511	00:09:41.526	00:00:08.015	
00:09:41.526	00:09:49.786	00:00:08.260	
00:09:49.786	00:09:57.880	00:00:08.094	
00:09:57.880	00:10:00.747	00:00:02.867	
00:10:00.747	00:10:11.619	00:00:10.873	
00:10:11.619	00:10:25.030	00:00:13.411	
00:10:25.030	00:10:59.055	00:00:34.024	
00:10:59.055	00:11:18.742	00:00:19.687	
00:11:18.742	00:11:22.889	00:00:04.148	
00:11:22.889	00:11:46.671	00:00:23.782	
00:11:46.671	00:12:03.360	00:00:16.689	
