Start	End	Length	Name
00:00:00.000	00:00:04.312	00:00:04.312	
00:00:04.312	00:00:33.600	00:00:29.288	
00:00:33.600	00:00:54.005	00:00:20.405	
00:00:54.005	00:01:20.153	00:00:26.148	
00:01:20.153	00:01:46.924	00:00:26.770	
00:01:46.924	00:02:09.372	00:00:22.449	
00:02:09.372	00:02:17.407	00:00:08.034	
00:02:17.407	00:02:40.371	00:00:22.964	
00:02:40.371	00:02:52.209	00:00:11.838	
00:02:52.209	00:03:19.610	00:00:27.401	
00:03:19.610	00:03:42.669	00:00:23.059	
00:03:42.669	00:04:10.591	00:00:27.922	
00:04:10.591	00:04:24.652	00:00:14.061	
00:04:24.652	00:04:38.416	00:00:13.764	
00:04:38.416	00:04:57.936	00:00:19.519	
00:04:57.936	00:05:01.993	00:00:04.058	
00:05:01.993	00:05:13.435	00:00:11.442	
00:05:13.435	00:05:17.309	00:00:03.874	
00:05:17.309	00:05:28.503	00:00:11.194	
00:05:28.503	00:05:29.976	00:00:01.473	
00:05:29.976	00:05:31.848	00:00:01.872	
00:05:31.848	00:05:33.634	00:00:01.785	
00:05:33.634	00:05:48.989	00:00:15.355	
00:05:48.989	00:05:51.337	00:00:02.349	
00:05:51.337	00:05:55.348	00:00:04.010	
00:05:55.348	00:06:00.934	00:00:05.587	
00:06:00.934	00:06:15.605	00:00:14.670	
00:06:15.605	00:06:20.146	00:00:04.542	
00:06:20.146	00:06:26.977	00:00:06.830	
00:06:26.977	00:06:28.673	00:00:01.696	
00:06:28.673	00:06:36.859	00:00:08.186	
00:06:36.859	00:06:41.589	00:00:04.731	
00:06:41.589	00:06:43.806	00:00:02.217	
00:06:43.806	00:06:47.152	00:00:03.345	
00:06:47.152	00:07:17.285	00:00:30.133	
00:07:17.285	00:07:21.353	00:00:04.069	
00:07:21.353	00:07:37.915	00:00:16.562	
00:07:37.915	00:07:41.240	00:00:03.325	
00:07:41.240	00:07:57.089	00:00:15.849	
00:07:57.089	00:08:06.992	00:00:09.903	
00:08:06.992	00:08:17.134	00:00:10.142	
00:08:17.134	00:08:19.130	00:00:01.996	
00:08:19.130	00:08:28.984	00:00:09.854	
00:08:28.984	00:08:35.395	00:00:06.411	
00:08:35.395	00:08:47.327	00:00:11.931	
00:08:47.327	00:08:56.041	00:00:08.715	
00:08:56.041	00:09:03.497	00:00:07.456	
00:09:03.497	00:09:05.399	00:00:01.902	
00:09:05.399	00:09:17.159	00:00:11.760	
00:09:17.159	00:09:20.171	00:00:03.012	
00:09:20.171	00:09:26.030	00:00:05.860	
00:09:26.030	00:10:19.240	00:00:53.210	
00:10:19.240	00:10:51.478	00:00:32.238	
00:10:51.478	00:11:11.669	00:00:20.191	
00:11:11.669	00:11:30.973	00:00:19.304	
00:11:30.973	00:11:48.211	00:00:17.237	
00:11:48.211	00:12:00.168	00:00:11.957	
00:12:00.168	00:12:01.723	00:00:01.554	
00:12:01.723	00:12:17.267	00:00:15.544	
00:12:17.267	00:12:19.020	00:00:01.753	
00:12:19.020	00:12:25.950	00:00:06.931	
00:12:25.950	00:12:35.261	00:00:09.311	
00:12:35.261	00:12:38.041	00:00:02.780	
00:12:38.041	00:12:42.641	00:00:04.599	
00:12:42.641	00:12:49.976	00:00:07.335	
00:12:49.976	00:12:53.950	00:00:03.974	
00:12:53.950	00:13:00.021	00:00:06.071	
00:13:00.021	00:13:11.150	00:00:11.129	
00:13:11.150	00:13:13.709	00:00:02.558	
00:13:13.709	00:13:20.404	00:00:06.695	
00:13:20.404	00:13:24.065	00:00:03.662	
00:13:24.065	00:13:28.568	00:00:04.502	
00:13:28.568	00:13:54.823	00:00:26.255	
00:13:54.823	00:14:02.583	00:00:07.760	
00:14:02.583	00:14:27.175	00:00:24.592	
00:14:27.175	00:14:29.982	00:00:02.807	
00:14:29.982	00:14:31.284	00:00:01.302	
00:14:31.284	00:14:33.485	00:00:02.201	
00:14:33.485	00:14:35.411	00:00:01.926	
00:14:35.411	00:14:37.155	00:00:01.744	
00:14:37.155	00:14:39.043	00:00:01.888	
00:14:39.043	00:14:42.341	00:00:03.298	
00:14:42.341	00:14:56.647	00:00:14.306	
00:14:56.647	00:14:58.781	00:00:02.134	
00:14:58.781	00:15:04.904	00:00:06.123	
00:15:04.904	00:15:07.828	00:00:02.924	
00:15:07.828	00:15:09.491	00:00:01.663	
00:15:09.491	00:15:18.300	00:00:08.810	
00:15:18.300	00:15:19.794	00:00:01.494	
00:15:19.794	00:15:21.407	00:00:01.613	
00:15:21.407	00:15:32.273	00:00:10.866	
00:15:32.273	00:15:38.389	00:00:06.116	
00:15:38.389	00:15:39.691	00:00:01.302	
00:15:39.691	00:15:40.861	00:00:01.170	
00:15:40.861	00:15:42.686	00:00:01.825	
00:15:42.686	00:15:45.254	00:00:02.568	
00:15:45.254	00:15:54.652	00:00:09.398	
00:15:54.652	00:15:58.388	00:00:03.736	
00:15:58.388	00:16:02.295	00:00:03.907	
00:16:02.295	00:16:06.795	00:00:04.500	
00:16:06.795	00:16:10.900	00:00:04.104	
00:16:10.900	00:16:14.135	00:00:03.235	
00:16:14.135	00:16:30.234	00:00:16.099	
00:16:30.234	00:16:46.990	00:00:16.756	
00:16:46.990	00:16:56.126	00:00:09.135	
00:16:56.126	00:16:57.963	00:00:01.837	
00:16:57.963	00:17:06.554	00:00:08.591	
00:17:06.554	00:17:11.141	00:00:04.587	
00:17:11.141	00:17:15.954	00:00:04.813	
00:17:15.954	00:17:18.926	00:00:02.972	
00:17:18.926	00:17:21.792	00:00:02.866	
00:17:21.792	00:17:22.727	00:00:00.935	
00:17:22.727	00:17:29.017	00:00:06.290	
00:17:29.017	00:17:31.348	00:00:02.332	
00:17:31.348	00:17:34.322	00:00:02.974	
00:17:34.322	00:17:36.679	00:00:02.356	
00:17:36.679	00:17:40.432	00:00:03.753	
00:17:40.432	00:18:02.053	00:00:21.622	
