Start	End	Length	Name
00:00:00.000	00:00:03.734	00:00:03.734	
00:00:03.734	00:00:13.696	00:00:09.962	
00:00:13.696	00:00:18.129	00:00:04.434	
00:00:18.129	00:00:32.636	00:00:14.506	
00:00:32.636	00:01:08.203	00:00:35.567	
00:01:08.203	00:01:35.312	00:00:27.109	
00:01:35.312	00:01:54.848	00:00:19.536	
00:01:54.848	00:02:17.205	00:00:22.357	
00:02:17.205	00:02:59.406	00:00:42.201	
00:02:59.406	00:03:15.213	00:00:15.807	
00:03:15.213	00:03:23.704	00:00:08.491	
00:03:23.704	00:03:28.305	00:00:04.601	
00:03:28.305	00:03:38.855	00:00:10.550	
00:03:38.855	00:04:00.747	00:00:21.893	
00:04:00.747	00:04:23.757	00:00:23.010	
00:04:23.757	00:04:31.840	00:00:08.083	
00:04:31.840	00:04:33.793	00:00:01.953	
00:04:33.793	00:05:11.078	00:00:37.285	
00:05:11.078	00:05:36.834	00:00:25.756	
00:05:36.834	00:05:46.124	00:00:09.289	
00:05:46.124	00:05:49.894	00:00:03.771	
00:05:49.894	00:05:51.769	00:00:01.874	
00:05:51.769	00:05:54.914	00:00:03.145	
00:05:54.914	00:05:57.473	00:00:02.559	
00:05:57.473	00:05:59.167	00:00:01.694	
00:05:59.167	00:06:02.898	00:00:03.731	
00:06:02.898	00:06:04.628	00:00:01.730	
00:06:04.628	00:06:06.682	00:00:02.055	
00:06:06.682	00:06:10.287	00:00:03.604	
00:06:10.287	00:06:18.579	00:00:08.293	
00:06:18.579	00:06:39.553	00:00:20.974	
00:06:39.553	00:07:24.821	00:00:45.268	
00:07:24.821	00:07:36.321	00:00:11.501	
00:07:36.321	00:07:55.643	00:00:19.322	
00:07:55.643	00:07:57.380	00:00:01.737	
00:07:57.380	00:08:01.665	00:00:04.285	
00:08:01.665	00:08:03.404	00:00:01.739	
00:08:03.404	00:08:05.224	00:00:01.820	
00:08:05.224	00:08:08.211	00:00:02.987	
00:08:08.211	00:08:11.536	00:00:03.325	
00:08:11.536	00:08:15.200	00:00:03.663	
00:08:15.200	00:08:22.562	00:00:07.362	
00:08:22.562	00:08:33.653	00:00:11.092	
00:08:33.653	00:08:35.407	00:00:01.754	
00:08:35.407	00:08:59.906	00:00:24.499	
00:08:59.906	00:09:23.358	00:00:23.451	
00:09:23.358	00:09:42.926	00:00:19.569	
00:09:42.926	00:09:56.677	00:00:13.751	
00:09:56.677	00:10:12.391	00:00:15.714	
00:10:12.391	00:10:16.293	00:00:03.902	
00:10:16.293	00:10:17.978	00:00:01.685	
00:10:17.978	00:10:40.680	00:00:22.701	
00:10:40.680	00:11:23.773	00:00:43.094	
00:11:23.773	00:11:25.561	00:00:01.788	
00:11:25.561	00:11:54.336	00:00:28.775	
00:11:54.336	00:12:13.749	00:00:19.413	
00:12:13.749	00:12:25.363	00:00:11.614	
00:12:25.363	00:12:53.385	00:00:28.022	
00:12:53.385	00:13:10.320	00:00:16.935	
00:13:10.320	00:13:11.858	00:00:01.538	
00:13:11.858	00:13:28.765	00:00:16.907	
00:13:28.765	00:13:46.099	00:00:17.334	
00:13:46.099	00:14:25.985	00:00:39.886	
00:14:25.985	00:14:32.067	00:00:06.082	
00:14:32.067	00:14:33.721	00:00:01.655	
00:14:33.721	00:15:00.728	00:00:27.007	
00:15:00.728	00:15:32.177	00:00:31.449	
00:15:32.177	00:15:39.661	00:00:07.485	
00:15:39.661	00:15:52.865	00:00:13.204	
00:15:52.865	00:16:19.597	00:00:26.732	
00:16:19.597	00:16:45.877	00:00:26.279	
00:16:45.877	00:17:15.163	00:00:29.286	
00:17:15.163	00:17:40.597	00:00:25.434	
00:17:40.597	00:17:45.360	00:00:04.763	
00:17:45.360	00:17:47.545	00:00:02.185	
00:17:47.545	00:18:21.619	00:00:34.074	
00:18:21.619	00:18:55.181	00:00:33.563	
00:18:55.181	00:19:22.611	00:00:27.430	
00:19:22.611	00:19:44.637	00:00:22.026	
00:19:44.637	00:20:02.600	00:00:17.963	
00:20:02.600	00:20:04.351	00:00:01.751	
00:20:04.351	00:20:22.709	00:00:18.359	
00:20:22.709	00:20:40.366	00:00:17.657	
00:20:40.366	00:21:15.478	00:00:35.112	
00:21:15.478	00:21:32.964	00:00:17.485	
00:21:32.964	00:22:00.625	00:00:27.661	
00:22:00.625	00:22:19.229	00:00:18.605	
00:22:19.229	00:22:58.566	00:00:39.337	
00:22:58.566	00:23:32.400	00:00:33.834	
