Start	End	Length	Name
00:00:00.000	00:00:04.846	00:00:04.846	
00:00:04.846	00:00:32.208	00:00:27.362	
00:00:32.208	00:01:12.080	00:00:39.872	
00:01:12.080	00:01:35.268	00:00:23.188	
00:01:35.268	00:01:48.226	00:00:12.958	
00:01:48.226	00:02:31.521	00:00:43.295	
00:02:31.521	00:02:53.114	00:00:21.593	
00:02:53.114	00:03:16.563	00:00:23.449	
00:03:16.563	00:03:32.527	00:00:15.964	
00:03:32.527	00:03:52.375	00:00:19.848	
00:03:52.375	00:04:08.784	00:00:16.408	
00:04:08.784	00:04:36.301	00:00:27.518	
00:04:36.301	00:05:16.038	00:00:39.737	
00:05:16.038	00:05:40.500	00:00:24.462	
00:05:40.500	00:06:04.391	00:00:23.890	
00:06:04.391	00:06:23.689	00:00:19.298	
00:06:23.689	00:06:28.916	00:00:05.226	
00:06:28.916	00:06:49.894	00:00:20.978	
00:06:49.894	00:06:55.544	00:00:05.650	
00:06:55.544	00:06:57.157	00:00:01.614	
00:06:57.157	00:07:14.920	00:00:17.763	
