Start	End	Length	Name
00:00:00.000	00:00:04.408	00:00:04.408	
00:00:04.408	00:00:15.213	00:00:10.804	
00:00:15.213	00:00:52.512	00:00:37.299	
00:00:52.512	00:01:38.997	00:00:46.485	
00:01:38.997	00:02:15.057	00:00:36.059	
00:02:15.057	00:02:29.804	00:00:14.747	
00:02:29.804	00:03:02.306	00:00:32.502	
00:03:02.306	00:03:07.686	00:00:05.380	
00:03:07.686	00:03:29.091	00:00:21.405	
00:03:29.091	00:03:48.299	00:00:19.207	
00:03:48.299	00:04:15.867	00:00:27.569	
00:04:15.867	00:04:26.371	00:00:10.504	
00:04:26.371	00:04:29.565	00:00:03.194	
00:04:29.565	00:04:32.899	00:00:03.334	
00:04:32.899	00:04:34.413	00:00:01.514	
00:04:34.413	00:04:36.233	00:00:01.820	
00:04:36.233	00:04:38.648	00:00:02.415	
00:04:38.648	00:04:42.798	00:00:04.150	
00:04:42.798	00:04:45.109	00:00:02.311	
00:04:45.109	00:04:48.227	00:00:03.118	
00:04:48.227	00:04:52.192	00:00:03.965	
00:04:52.192	00:04:53.634	00:00:01.442	
00:04:53.634	00:04:55.877	00:00:02.244	
00:04:55.877	00:04:58.725	00:00:02.848	
00:04:58.725	00:05:00.491	00:00:01.766	
00:05:00.491	00:05:13.385	00:00:12.894	
00:05:13.385	00:05:15.730	00:00:02.345	
00:05:15.730	00:05:29.630	00:00:13.901	
00:05:29.630	00:05:33.163	00:00:03.532	
00:05:33.163	00:05:35.616	00:00:02.453	
00:05:35.616	00:05:43.253	00:00:07.637	
00:05:43.253	00:05:45.605	00:00:02.352	
00:05:45.605	00:05:54.107	00:00:08.502	
00:05:54.107	00:06:03.609	00:00:09.502	
00:06:03.609	00:06:05.501	00:00:01.892	
00:06:05.501	00:06:07.560	00:00:02.059	
00:06:07.560	00:06:14.106	00:00:06.546	
00:06:14.106	00:06:25.654	00:00:11.547	
00:06:25.654	00:06:29.294	00:00:03.641	
00:06:29.294	00:06:32.174	00:00:02.880	
00:06:32.174	00:06:35.977	00:00:03.803	
00:06:35.977	00:06:39.239	00:00:03.262	
00:06:39.239	00:06:44.606	00:00:05.367	
00:06:44.606	00:06:48.283	00:00:03.677	
00:06:48.283	00:06:52.960	00:00:04.677	
00:06:52.960	00:06:55.933	00:00:02.974	
00:06:55.933	00:07:12.787	00:00:16.853	
