Start	End	Length	Name
00:00:00.000	00:00:04.376	00:00:04.376	
00:00:04.376	00:00:14.762	00:00:10.386	
00:00:14.762	00:01:19.563	00:01:04.801	
00:01:19.563	00:01:32.307	00:00:12.744	
00:01:32.307	00:01:37.653	00:00:05.346	
00:01:37.653	00:01:59.834	00:00:22.181	
00:01:59.834	00:02:03.403	00:00:03.570	
00:02:03.403	00:02:24.675	00:00:21.272	
00:02:24.675	00:02:35.703	00:00:11.028	
00:02:35.703	00:02:46.279	00:00:10.576	
00:02:46.279	00:03:28.181	00:00:41.902	
00:03:28.181	00:03:36.993	00:00:08.813	
00:03:36.993	00:03:45.701	00:00:08.707	
00:03:45.701	00:04:00.127	00:00:14.426	
00:04:00.127	00:04:17.807	00:00:17.680	
00:04:17.807	00:04:38.977	00:00:21.170	
00:04:38.977	00:04:49.500	00:00:10.523	
00:04:49.500	00:04:53.973	00:00:04.473	
00:04:53.973	00:04:58.299	00:00:04.325	
00:04:58.299	00:05:23.547	00:00:25.248	
00:05:23.547	00:05:39.061	00:00:15.514	
00:05:39.061	00:05:46.362	00:00:07.301	
00:05:46.362	00:06:00.913	00:00:14.551	
00:06:00.913	00:06:04.659	00:00:03.746	
00:06:04.659	00:06:08.792	00:00:04.133	
00:06:08.792	00:06:11.118	00:00:02.327	
00:06:11.118	00:06:15.065	00:00:03.947	
00:06:15.065	00:06:27.677	00:00:12.612	
00:06:27.677	00:06:34.615	00:00:06.938	
00:06:34.615	00:06:36.805	00:00:02.190	
00:06:36.805	00:06:41.157	00:00:04.352	
00:06:41.157	00:06:49.207	00:00:08.050	
00:06:49.207	00:06:52.036	00:00:02.830	
00:06:52.036	00:07:02.141	00:00:10.105	
00:07:02.141	00:07:03.313	00:00:01.171	
00:07:03.313	00:07:09.332	00:00:06.019	
00:07:09.332	00:07:16.478	00:00:07.146	
00:07:16.478	00:07:36.849	00:00:20.371	
00:07:36.849	00:07:54.306	00:00:17.458	
00:07:54.306	00:08:05.145	00:00:10.839	
00:08:05.145	00:08:27.372	00:00:22.227	
00:08:27.372	00:08:32.238	00:00:04.866	
00:08:32.238	00:08:37.375	00:00:05.136	
00:08:37.375	00:08:45.831	00:00:08.456	
00:08:45.831	00:08:51.697	00:00:05.866	
00:08:51.697	00:09:12.813	00:00:21.116	
00:09:12.813	00:09:33.794	00:00:20.981	
00:09:33.794	00:09:37.187	00:00:03.393	
00:09:37.187	00:09:45.486	00:00:08.299	
00:09:45.486	00:09:47.589	00:00:02.103	
00:09:47.589	00:10:11.290	00:00:23.701	
00:10:11.290	00:10:16.570	00:00:05.279	
00:10:16.570	00:10:18.134	00:00:01.565	
00:10:18.134	00:10:23.402	00:00:05.268	
00:10:23.402	00:10:35.427	00:00:12.025	
00:10:35.427	00:10:47.065	00:00:11.638	
00:10:47.065	00:10:51.770	00:00:04.706	
00:10:51.770	00:11:15.770	00:00:24.000	
00:11:15.770	00:11:34.538	00:00:18.768	
00:11:34.538	00:11:39.365	00:00:04.827	
00:11:39.365	00:11:50.505	00:00:11.140	
00:11:50.505	00:12:00.313	00:00:09.808	
00:12:00.313	00:12:02.932	00:00:02.619	
00:12:02.932	00:12:08.748	00:00:05.815	
00:12:08.748	00:12:29.601	00:00:20.853	
00:12:29.601	00:12:36.392	00:00:06.791	
00:12:36.392	00:12:46.480	00:00:10.088	
00:12:46.480	00:13:09.011	00:00:22.531	
00:13:09.011	00:13:19.931	00:00:10.920	
00:13:19.931	00:13:33.206	00:00:13.275	
00:13:33.206	00:13:41.159	00:00:07.954	
00:13:41.159	00:13:44.227	00:00:03.068	
00:13:44.227	00:13:52.041	00:00:07.813	
00:13:52.041	00:14:10.294	00:00:18.254	
00:14:10.294	00:14:30.819	00:00:20.525	
00:14:30.819	00:14:49.636	00:00:18.817	
00:14:49.636	00:15:12.698	00:00:23.061	
00:15:12.698	00:15:27.951	00:00:15.253	
00:15:27.951	00:15:39.617	00:00:11.666	
00:15:39.617	00:16:01.025	00:00:21.408	
00:16:01.025	00:16:17.151	00:00:16.126	
00:16:17.151	00:16:38.901	00:00:21.751	
00:16:38.901	00:16:49.742	00:00:10.840	
00:16:49.742	00:17:05.232	00:00:15.490	
00:17:05.232	00:17:16.079	00:00:10.848	
00:17:16.079	00:17:27.307	00:00:11.227	
