Start	End	Length	Name
00:00:00.000	00:00:04.548	00:00:04.548	
00:00:04.548	00:00:27.350	00:00:22.803	
00:00:27.350	00:00:53.630	00:00:26.279	
00:00:53.630	00:01:06.618	00:00:12.988	
00:01:06.618	00:01:18.634	00:00:12.016	
00:01:18.634	00:01:38.903	00:00:20.269	
00:01:38.903	00:01:52.629	00:00:13.726	
00:01:52.629	00:03:11.560	00:01:18.931	
00:03:11.560	00:03:17.818	00:00:06.258	
00:03:17.818	00:03:31.908	00:00:14.090	
00:03:31.908	00:03:38.538	00:00:06.630	
00:03:38.538	00:03:40.460	00:00:01.922	
00:03:40.460	00:03:43.910	00:00:03.450	
00:03:43.910	00:04:01.910	00:00:17.999	
00:04:01.910	00:04:08.102	00:00:06.192	
00:04:08.102	00:04:42.950	00:00:34.848	
00:04:42.950	00:05:12.986	00:00:30.036	
00:05:12.986	00:05:25.592	00:00:12.607	
00:05:25.592	00:05:39.974	00:00:14.382	
00:05:39.974	00:05:56.586	00:00:16.611	
00:05:56.586	00:06:03.038	00:00:06.452	
00:06:03.038	00:06:16.669	00:00:13.632	
00:06:16.669	00:06:18.270	00:00:01.601	
00:06:18.270	00:06:26.828	00:00:08.558	
00:06:26.828	00:06:31.370	00:00:04.542	
00:06:31.370	00:06:37.044	00:00:05.674	
00:06:37.044	00:07:02.174	00:00:25.130	
00:07:02.174	00:07:05.151	00:00:02.977	
00:07:05.151	00:07:09.882	00:00:04.731	
00:07:09.882	00:07:11.179	00:00:01.298	
00:07:11.179	00:07:15.532	00:00:04.352	
00:07:15.532	00:07:18.578	00:00:03.046	
00:07:18.578	00:07:27.855	00:00:09.278	
00:07:27.855	00:07:34.167	00:00:06.311	
00:07:34.167	00:07:37.503	00:00:03.336	
00:07:37.503	00:07:48.926	00:00:11.423	
00:07:48.926	00:08:16.378	00:00:27.452	
00:08:16.378	00:08:35.264	00:00:18.887	
00:08:35.264	00:08:41.392	00:00:06.128	
00:08:41.392	00:08:54.424	00:00:13.032	
00:08:54.424	00:09:01.354	00:00:06.930	
