Start	End	Length	Name
00:00:00.000	00:00:04.308	00:00:04.308	
00:00:04.308	00:00:34.855	00:00:30.547	
00:00:34.855	00:00:37.217	00:00:02.362	
00:00:37.217	00:01:07.978	00:00:30.761	
00:01:07.978	00:01:10.068	00:00:02.091	
00:01:10.068	00:01:27.550	00:00:17.482	
00:01:27.550	00:01:32.704	00:00:05.154	
00:01:32.704	00:01:39.416	00:00:06.712	
00:01:39.416	00:01:42.777	00:00:03.361	
00:01:42.777	00:01:50.744	00:00:07.967	
00:01:50.744	00:01:55.015	00:00:04.271	
00:01:55.015	00:02:04.250	00:00:09.235	
00:02:04.250	00:02:10.238	00:00:05.988	
00:02:10.238	00:02:19.023	00:00:08.785	
00:02:19.023	00:02:21.880	00:00:02.858	
00:02:21.880	00:02:25.408	00:00:03.528	
00:02:25.408	00:02:36.788	00:00:11.379	
00:02:36.788	00:02:45.019	00:00:08.232	
00:02:45.019	00:02:50.373	00:00:05.353	
00:02:50.373	00:02:58.019	00:00:07.647	
00:02:58.019	00:03:02.658	00:00:04.638	
00:03:02.658	00:03:05.655	00:00:02.997	
00:03:05.655	00:03:15.539	00:00:09.884	
00:03:15.539	00:03:18.744	00:00:03.205	
00:03:18.744	00:03:23.210	00:00:04.466	
00:03:23.210	00:03:27.746	00:00:04.536	
00:03:27.746	00:03:33.351	00:00:05.605	
00:03:33.351	00:03:36.820	00:00:03.469	
00:03:36.820	00:03:39.774	00:00:02.953	
00:03:39.774	00:03:42.585	00:00:02.811	
00:03:42.585	00:03:45.624	00:00:03.039	
00:03:45.624	00:03:56.985	00:00:11.361	
00:03:56.985	00:04:00.250	00:00:03.265	
00:04:00.250	00:04:36.808	00:00:36.558	
00:04:36.808	00:04:48.014	00:00:11.205	
00:04:48.014	00:05:10.990	00:00:22.976	
00:05:10.990	00:05:15.027	00:00:04.037	
00:05:15.027	00:05:23.828	00:00:08.800	
00:05:23.828	00:05:31.289	00:00:07.461	
00:05:31.289	00:05:45.336	00:00:14.047	
00:05:45.336	00:05:51.476	00:00:06.140	
00:05:51.476	00:05:56.422	00:00:04.946	
00:05:56.422	00:06:02.119	00:00:05.697	
00:06:02.119	00:06:24.335	00:00:22.216	
00:06:24.335	00:06:41.331	00:00:16.996	
00:06:41.331	00:06:44.030	00:00:02.699	
00:06:44.030	00:06:59.290	00:00:15.260	
00:06:59.290	00:07:03.169	00:00:03.878	
00:07:03.169	00:07:08.387	00:00:05.218	
00:07:08.387	00:07:18.205	00:00:09.818	
00:07:18.205	00:07:21.504	00:00:03.299	
00:07:21.504	00:07:34.758	00:00:13.255	
00:07:34.758	00:07:47.032	00:00:12.273	
00:07:47.032	00:08:03.782	00:00:16.750	
00:08:03.782	00:08:08.950	00:00:05.168	
00:08:08.950	00:08:28.829	00:00:19.880	
00:08:28.829	00:08:35.836	00:00:07.006	
00:08:35.836	00:08:47.821	00:00:11.985	
00:08:47.821	00:08:53.610	00:00:05.790	
00:08:53.610	00:09:21.717	00:00:28.107	
00:09:21.717	00:09:49.251	00:00:27.534	
00:09:49.251	00:09:52.123	00:00:02.873	
00:09:52.123	00:09:58.098	00:00:05.975	
00:09:58.098	00:10:04.723	00:00:06.624	
00:10:04.723	00:10:11.814	00:00:07.091	
00:10:11.814	00:10:17.830	00:00:06.016	
00:10:17.830	00:10:22.060	00:00:04.230	
00:10:22.060	00:10:33.705	00:00:11.644	
00:10:33.705	00:10:41.977	00:00:08.272	
00:10:41.977	00:10:44.750	00:00:02.773	
00:10:44.750	00:10:51.701	00:00:06.951	
00:10:51.701	00:10:54.407	00:00:02.706	
00:10:54.407	00:11:02.328	00:00:07.921	
00:11:02.328	00:11:05.283	00:00:02.955	
00:11:05.283	00:11:16.043	00:00:10.760	
00:11:16.043	00:11:19.160	00:00:03.117	
00:11:19.160	00:11:24.509	00:00:05.349	
00:11:24.509	00:11:30.600	00:00:06.090	
00:11:30.600	00:11:39.747	00:00:09.147	
00:11:39.747	00:11:45.509	00:00:05.762	
00:11:45.509	00:11:48.718	00:00:03.209	
00:11:48.718	00:11:53.374	00:00:04.656	
00:11:53.374	00:11:58.871	00:00:05.497	
00:11:58.871	00:12:01.074	00:00:02.203	
00:12:01.074	00:12:03.327	00:00:02.253	
00:12:03.327	00:12:11.561	00:00:08.234	
00:12:11.561	00:12:15.332	00:00:03.771	
00:12:15.332	00:12:19.160	00:00:03.828	
00:12:19.160	00:12:26.840	00:00:07.680	
