Start	End	Length	Name
00:00:00.000	00:00:04.170	00:00:04.170	
00:00:04.170	00:00:18.057	00:00:13.887	
00:00:18.057	00:00:31.454	00:00:13.397	
00:00:31.454	00:00:50.948	00:00:19.495	
00:00:50.948	00:00:53.148	00:00:02.200	
00:00:53.148	00:01:06.970	00:00:13.822	
00:01:06.970	00:01:42.160	00:00:35.190	
00:01:42.160	00:02:54.195	00:01:12.034	
00:02:54.195	00:03:37.570	00:00:43.375	
00:03:37.570	00:04:25.748	00:00:48.177	
00:04:25.748	00:05:05.660	00:00:39.912	
00:05:05.660	00:05:16.831	00:00:11.171	
00:05:16.831	00:05:19.417	00:00:02.586	
00:05:19.417	00:05:23.458	00:00:04.042	
00:05:23.458	00:05:40.934	00:00:17.476	
00:05:40.934	00:05:45.529	00:00:04.595	
00:05:45.529	00:05:57.910	00:00:12.381	
00:05:57.910	00:06:15.705	00:00:17.795	
00:06:15.705	00:06:49.410	00:00:33.705	
00:06:49.410	00:07:00.049	00:00:10.639	
00:07:00.049	00:07:14.530	00:00:14.481	
00:07:14.530	00:07:31.253	00:00:16.723	
