Start	End	Length	Name
00:00:00.000	00:00:04.210	00:00:04.210	
00:00:04.210	00:00:26.776	00:00:22.566	
00:00:26.776	00:00:47.475	00:00:20.699	
00:00:47.475	00:00:51.984	00:00:04.509	
00:00:51.984	00:00:55.607	00:00:03.623	
00:00:55.607	00:01:05.105	00:00:09.498	
00:01:05.105	00:01:10.312	00:00:05.207	
00:01:10.312	00:01:24.844	00:00:14.532	
00:01:24.844	00:01:43.403	00:00:18.559	
00:01:43.403	00:02:25.115	00:00:41.713	
00:02:25.115	00:02:27.717	00:00:02.602	
00:02:27.717	00:02:56.371	00:00:28.654	
00:02:56.371	00:03:19.039	00:00:22.667	
00:03:19.039	00:03:40.802	00:00:21.764	
00:03:40.802	00:04:43.341	00:01:02.539	
00:04:43.341	00:05:07.115	00:00:23.774	
00:05:07.115	00:05:23.330	00:00:16.215	
00:05:23.330	00:05:36.710	00:00:13.380	
00:05:36.710	00:05:44.222	00:00:07.512	
00:05:44.222	00:06:22.896	00:00:38.674	
00:06:22.896	00:06:30.450	00:00:07.554	
00:06:30.450	00:06:47.502	00:00:17.052	
00:06:47.502	00:07:08.432	00:00:20.930	
00:07:08.432	00:07:28.527	00:00:20.095	
00:07:28.527	00:07:36.392	00:00:07.865	
00:07:36.392	00:07:40.783	00:00:04.391	
00:07:40.783	00:07:49.312	00:00:08.529	
00:07:49.312	00:08:07.560	00:00:18.247	
00:08:07.560	00:08:15.886	00:00:08.327	
00:08:15.886	00:08:23.620	00:00:07.733	
00:08:23.620	00:08:43.286	00:00:19.667	
00:08:43.286	00:08:53.515	00:00:10.229	
00:08:53.515	00:08:59.480	00:00:05.965	
00:08:59.480	00:09:18.284	00:00:18.804	
00:09:18.284	00:09:20.888	00:00:02.604	
00:09:20.888	00:09:38.421	00:00:17.532	
00:09:38.421	00:09:56.524	00:00:18.103	
00:09:56.524	00:10:12.769	00:00:16.245	
00:10:12.769	00:10:25.922	00:00:13.153	
00:10:25.922	00:10:41.223	00:00:15.301	
00:10:41.223	00:10:53.769	00:00:12.546	
00:10:53.769	00:11:00.490	00:00:06.721	
00:11:00.490	00:11:13.061	00:00:12.572	
00:11:13.061	00:11:15.697	00:00:02.636	
00:11:15.697	00:11:18.986	00:00:03.289	
00:11:18.986	00:11:22.844	00:00:03.858	
00:11:22.844	00:11:25.717	00:00:02.872	
00:11:25.717	00:11:32.355	00:00:06.638	
00:11:32.355	00:11:37.150	00:00:04.795	
00:11:37.150	00:11:41.823	00:00:04.673	
00:11:41.823	00:11:56.259	00:00:14.436	
00:11:56.259	00:11:58.291	00:00:02.032	
00:11:58.291	00:12:02.644	00:00:04.352	
00:12:02.644	00:12:10.408	00:00:07.764	
00:12:10.408	00:12:15.738	00:00:05.330	
00:12:15.738	00:12:18.646	00:00:02.908	
00:12:18.646	00:12:37.028	00:00:18.383	
00:12:37.028	00:12:41.890	00:00:04.862	
00:12:41.890	00:12:43.308	00:00:01.418	
00:12:43.308	00:12:47.399	00:00:04.091	
00:12:47.399	00:12:52.995	00:00:05.596	
00:12:52.995	00:12:55.915	00:00:02.920	
00:12:55.915	00:13:01.079	00:00:05.163	
00:13:01.079	00:13:06.556	00:00:05.477	
00:13:06.556	00:13:21.891	00:00:15.335	
00:13:21.891	00:13:29.812	00:00:07.921	
00:13:29.812	00:13:39.446	00:00:09.634	
00:13:39.446	00:13:43.540	00:00:04.094	
00:13:43.540	00:13:46.892	00:00:03.352	
00:13:46.892	00:13:58.486	00:00:11.593	
00:13:58.486	00:14:02.120	00:00:03.634	
00:14:02.120	00:14:09.780	00:00:07.660	
00:14:09.780	00:14:15.160	00:00:05.380	
00:14:15.160	00:14:16.629	00:00:01.469	
00:14:16.629	00:14:21.153	00:00:04.524	
00:14:21.153	00:14:23.772	00:00:02.619	
00:14:23.772	00:14:47.467	00:00:23.695	
