Start	End	Length	Name
00:00:00.000	00:00:04.983	00:00:04.983	
00:00:04.983	00:00:14.314	00:00:09.331	
00:00:14.314	00:00:21.588	00:00:07.274	
00:00:21.588	00:00:28.163	00:00:06.575	
00:00:28.163	00:00:50.105	00:00:21.941	
00:00:50.105	00:00:51.805	00:00:01.700	
00:00:51.805	00:01:01.643	00:00:09.838	
00:01:01.643	00:01:04.867	00:00:03.224	
00:01:04.867	00:01:15.649	00:00:10.782	
00:01:15.649	00:01:28.451	00:00:12.802	
00:01:28.451	00:01:37.156	00:00:08.705	
00:01:37.156	00:01:38.994	00:00:01.838	
00:01:38.994	00:01:47.778	00:00:08.783	
00:01:47.778	00:01:49.553	00:00:01.776	
00:01:49.553	00:01:51.382	00:00:01.829	
00:01:51.382	00:01:59.263	00:00:07.880	
00:01:59.263	00:02:20.792	00:00:21.529	
00:02:20.792	00:02:24.882	00:00:04.090	
00:02:24.882	00:02:28.856	00:00:03.974	
00:02:28.856	00:02:38.973	00:00:10.117	
