Start	End	Length	Name
00:00:00.000	00:00:04.829	00:00:04.829	
00:00:04.829	00:00:29.888	00:00:25.060	
00:00:29.888	00:00:42.324	00:00:12.435	
00:00:42.324	00:00:48.006	00:00:05.683	
00:00:48.006	00:00:56.509	00:00:08.503	
00:00:56.509	00:02:11.368	00:01:14.858	
00:02:11.368	00:02:50.894	00:00:39.526	
00:02:50.894	00:03:06.495	00:00:15.601	
00:03:06.495	00:03:09.266	00:00:02.771	
00:03:09.266	00:03:21.373	00:00:12.107	
00:03:21.373	00:03:32.514	00:00:11.141	
00:03:32.514	00:03:54.879	00:00:22.366	
00:03:54.879	00:03:59.972	00:00:05.092	
00:03:59.972	00:04:01.851	00:00:01.879	
00:04:01.851	00:04:16.635	00:00:14.784	
00:04:16.635	00:04:20.321	00:00:03.686	
00:04:20.321	00:04:22.511	00:00:02.190	
00:04:22.511	00:04:31.720	00:00:09.209	
