Start	End	Length	Name
00:00:00.000	00:00:04.988	00:00:04.988	
00:00:04.988	00:00:25.065	00:00:20.077	
00:00:25.065	00:01:06.608	00:00:41.544	
00:01:06.608	00:01:17.133	00:00:10.525	
00:01:17.133	00:01:23.388	00:00:06.255	
00:01:23.388	00:01:25.217	00:00:01.829	
00:01:25.217	00:01:28.017	00:00:02.799	
00:01:28.017	00:01:32.714	00:00:04.697	
00:01:32.714	00:01:34.429	00:00:01.716	
00:01:34.429	00:01:38.088	00:00:03.659	
00:01:38.088	00:01:46.450	00:00:08.361	
00:01:46.450	00:01:52.955	00:00:06.505	
00:01:52.955	00:02:04.526	00:00:11.571	
00:02:04.526	00:02:09.013	00:00:04.488	
00:02:09.013	00:02:17.740	00:00:08.727	
00:02:17.740	00:02:34.368	00:00:16.628	
00:02:34.368	00:02:47.269	00:00:12.900	
00:02:47.269	00:02:51.486	00:00:04.217	
00:02:51.486	00:02:55.258	00:00:03.772	
00:02:55.258	00:02:58.011	00:00:02.753	
00:02:58.011	00:03:04.032	00:00:06.021	
00:03:04.032	00:03:06.070	00:00:02.037	
00:03:06.070	00:03:16.889	00:00:10.819	
00:03:16.889	00:03:24.189	00:00:07.300	
00:03:24.189	00:03:27.163	00:00:02.974	
00:03:27.163	00:03:30.078	00:00:02.915	
00:03:30.078	00:03:33.854	00:00:03.776	
00:03:33.854	00:03:39.211	00:00:05.357	
00:03:39.211	00:04:04.339	00:00:25.128	
00:04:04.339	00:04:16.524	00:00:12.185	
00:04:16.524	00:04:24.567	00:00:08.043	
00:04:24.567	00:04:28.135	00:00:03.568	
00:04:28.135	00:04:49.360	00:00:21.226	
00:04:49.360	00:04:56.203	00:00:06.843	
00:04:56.203	00:05:35.621	00:00:39.418	
00:05:35.621	00:05:38.355	00:00:02.734	
00:05:38.355	00:05:41.411	00:00:03.056	
00:05:41.411	00:06:10.542	00:00:29.131	
00:06:10.542	00:06:35.685	00:00:25.142	
00:06:35.685	00:06:39.250	00:00:03.566	
00:06:39.250	00:07:00.209	00:00:20.959	
00:07:00.209	00:07:16.907	00:00:16.698	
00:07:16.907	00:07:20.778	00:00:03.871	
00:07:20.778	00:07:35.743	00:00:14.965	
00:07:35.743	00:07:38.220	00:00:02.477	
00:07:38.220	00:07:55.104	00:00:16.883	
00:07:55.104	00:08:00.871	00:00:05.767	
00:08:00.871	00:08:04.966	00:00:04.095	
00:08:04.966	00:08:06.358	00:00:01.392	
00:08:06.358	00:08:08.403	00:00:02.046	
00:08:08.403	00:08:26.062	00:00:17.658	
00:08:26.062	00:08:28.961	00:00:02.899	
00:08:28.961	00:08:32.051	00:00:03.091	
00:08:32.051	00:08:41.000	00:00:08.948	
00:08:41.000	00:08:45.236	00:00:04.236	
00:08:45.236	00:08:53.640	00:00:08.404	
