Start	End	Length	Name
00:00:00.000	00:00:05.339	00:00:05.339	
00:00:05.339	00:00:21.010	00:00:15.670	
00:00:21.010	00:00:24.254	00:00:03.244	
00:00:24.254	00:00:27.930	00:00:03.677	
00:00:27.930	00:00:36.826	00:00:08.896	
00:00:36.826	00:00:52.559	00:00:15.734	
00:00:52.559	00:01:09.288	00:00:16.728	
00:01:09.288	00:01:43.129	00:00:33.842	
00:01:43.129	00:01:52.965	00:00:09.836	
00:01:52.965	00:01:57.704	00:00:04.739	
00:01:57.704	00:01:59.416	00:00:01.713	
00:01:59.416	00:02:03.701	00:00:04.285	
00:02:03.701	00:02:06.949	00:00:03.247	
00:02:06.949	00:02:15.816	00:00:08.867	
00:02:15.816	00:02:21.307	00:00:05.491	
00:02:21.307	00:02:22.730	00:00:01.423	
00:02:22.730	00:02:24.440	00:00:01.710	
00:02:24.440	00:02:32.627	00:00:08.187	
00:02:32.627	00:02:36.324	00:00:03.697	
00:02:36.324	00:02:44.616	00:00:08.292	
00:02:44.616	00:02:45.848	00:00:01.232	
00:02:45.848	00:02:53.273	00:00:07.425	
00:02:53.273	00:02:59.641	00:00:06.368	
00:02:59.641	00:03:03.437	00:00:03.797	
00:03:03.437	00:03:04.910	00:00:01.473	
00:03:04.910	00:03:07.924	00:00:03.014	
00:03:07.924	00:03:11.502	00:00:03.577	
00:03:11.502	00:03:14.043	00:00:02.541	
00:03:14.043	00:03:17.616	00:00:03.573	
00:03:17.616	00:03:22.035	00:00:04.419	
00:03:22.035	00:03:23.500	00:00:01.464	
00:03:23.500	00:03:33.065	00:00:09.565	
00:03:33.065	00:03:43.338	00:00:10.273	
00:03:43.338	00:03:53.253	00:00:09.915	
00:03:53.253	00:03:57.002	00:00:03.749	
00:03:57.002	00:04:04.923	00:00:07.921	
00:04:04.923	00:04:06.617	00:00:01.694	
00:04:06.617	00:04:08.858	00:00:02.241	
00:04:08.858	00:04:13.796	00:00:04.938	
00:04:13.796	00:04:21.565	00:00:07.769	
00:04:21.565	00:04:23.097	00:00:01.532	
00:04:23.097	00:04:30.730	00:00:07.632	
00:04:30.730	00:04:34.749	00:00:04.019	
00:04:34.749	00:04:38.242	00:00:03.493	
00:04:38.242	00:04:41.540	00:00:03.298	
00:04:41.540	00:04:47.833	00:00:06.293	
00:04:47.833	00:04:53.402	00:00:05.569	
00:04:53.402	00:05:03.496	00:00:10.094	
00:05:03.496	00:05:09.011	00:00:05.515	
00:05:09.011	00:05:11.942	00:00:02.931	
00:05:11.942	00:05:13.960	00:00:02.019	
00:05:13.960	00:05:15.857	00:00:01.897	
00:05:15.857	00:05:24.654	00:00:08.797	
00:05:24.654	00:05:29.256	00:00:04.602	
00:05:29.256	00:05:33.884	00:00:04.627	
00:05:33.884	00:05:45.451	00:00:11.567	
00:05:45.451	00:06:18.508	00:00:33.057	
00:06:18.508	00:06:23.381	00:00:04.873	
00:06:23.381	00:06:31.850	00:00:08.469	
00:06:31.850	00:07:20.849	00:00:48.999	
00:07:20.849	00:07:58.890	00:00:38.041	
00:07:58.890	00:08:06.080	00:00:07.190	
00:08:06.080	00:08:15.000	00:00:08.920	
00:08:15.000	00:08:28.073	00:00:13.073	
00:08:28.073	00:08:35.947	00:00:07.874	
