Start	End	Length	Name
00:00:00.000	00:00:04.291	00:00:04.291	
00:00:04.291	00:00:10.854	00:00:06.563	
00:00:10.854	00:00:15.037	00:00:04.183	
00:00:15.037	00:00:16.686	00:00:01.649	
00:00:16.686	00:00:19.967	00:00:03.280	
00:00:19.967	00:00:26.235	00:00:06.268	
00:00:26.235	00:00:31.740	00:00:05.505	
00:00:31.740	00:00:35.317	00:00:03.577	
00:00:35.317	00:00:37.065	00:00:01.748	
00:00:37.065	00:00:39.872	00:00:02.807	
00:00:39.872	00:00:42.008	00:00:02.136	
00:00:42.008	00:00:44.423	00:00:02.415	
00:00:44.423	00:00:45.930	00:00:01.507	
00:00:45.930	00:00:48.377	00:00:02.447	
00:00:48.377	00:00:53.270	00:00:04.893	
00:00:53.270	00:00:58.794	00:00:05.524	
00:00:58.794	00:01:09.678	00:00:10.884	
00:01:09.678	00:01:18.738	00:00:09.060	
00:01:18.738	00:01:20.761	00:00:02.024	
00:01:20.761	00:01:36.978	00:00:16.217	
00:01:36.978	00:01:43.144	00:00:06.166	
00:01:43.144	00:02:03.449	00:00:20.305	
00:02:03.449	00:02:06.870	00:00:03.420	
00:02:06.870	00:02:13.440	00:00:06.570	
00:02:13.440	00:02:16.442	00:00:03.002	
00:02:16.442	00:02:19.637	00:00:03.194	
00:02:19.637	00:02:33.844	00:00:14.207	
00:02:33.844	00:02:35.872	00:00:02.028	
00:02:35.872	00:02:37.186	00:00:01.315	
00:02:37.186	00:02:49.301	00:00:12.114	
00:02:49.301	00:02:57.312	00:00:08.011	
00:02:57.312	00:03:01.313	00:00:04.001	
00:03:01.313	00:03:05.936	00:00:04.623	
00:03:05.936	00:03:26.427	00:00:20.491	
00:03:26.427	00:03:30.856	00:00:04.429	
00:03:30.856	00:03:36.595	00:00:05.739	
00:03:36.595	00:04:09.174	00:00:32.579	
00:04:09.174	00:04:49.243	00:00:40.069	
00:04:49.243	00:04:54.235	00:00:04.992	
00:04:54.235	00:04:58.687	00:00:04.452	
00:04:58.687	00:05:01.297	00:00:02.610	
00:05:01.297	00:05:04.577	00:00:03.280	
00:05:04.577	00:05:11.191	00:00:06.614	
00:05:11.191	00:05:24.659	00:00:13.468	
00:05:24.659	00:05:28.372	00:00:03.713	
00:05:28.372	00:05:42.326	00:00:13.955	
00:05:42.326	00:05:44.399	00:00:02.073	
00:05:44.399	00:06:03.851	00:00:19.452	
00:06:03.851	00:06:06.860	00:00:03.010	
00:06:06.860	00:06:17.182	00:00:10.321	
00:06:17.182	00:06:35.296	00:00:18.114	
00:06:35.296	00:06:53.324	00:00:18.028	
00:06:53.324	00:06:58.478	00:00:05.154	
00:06:58.478	00:07:03.164	00:00:04.686	
00:07:03.164	00:07:06.500	00:00:03.336	
00:07:06.500	00:07:11.781	00:00:05.281	
00:07:11.781	00:07:14.556	00:00:02.775	
00:07:14.556	00:07:16.845	00:00:02.289	
00:07:16.845	00:07:19.406	00:00:02.561	
00:07:19.406	00:07:23.367	00:00:03.960	
00:07:23.367	00:07:26.386	00:00:03.020	
00:07:26.386	00:07:31.009	00:00:04.623	
00:07:31.009	00:07:48.689	00:00:17.680	
00:07:48.689	00:08:01.517	00:00:12.827	
00:08:01.517	00:08:04.328	00:00:02.811	
00:08:04.328	00:08:07.356	00:00:03.028	
00:08:07.356	00:08:26.176	00:00:18.820	
00:08:26.176	00:08:29.097	00:00:02.921	
00:08:29.097	00:08:47.372	00:00:18.275	
00:08:47.372	00:08:49.923	00:00:02.551	
00:08:49.923	00:08:52.617	00:00:02.694	
00:08:52.617	00:08:54.289	00:00:01.672	
00:08:54.289	00:08:56.154	00:00:01.865	
00:08:56.154	00:08:57.830	00:00:01.676	
00:08:57.830	00:09:01.939	00:00:04.109	
00:09:01.939	00:09:19.108	00:00:17.169	
00:09:19.108	00:09:27.324	00:00:08.216	
00:09:27.324	00:09:34.053	00:00:06.730	
